grid_cell,block_id,block_label,corrected_richness_ms,block_start,block_end
55,1,2000-2004,88.41688005523025,2000,2004
55,2,2005-2009,90.71659418960756,2005,2009
55,3,2010-2014,93.07703682044507,2010,2014
55,4,2015-2019,94.06620997536534,2015,2019
55,5,2020-2024,100.49275575589986,2020,2024
56,1,2000-2004,86.28407186581428,2000,2004
56,2,2005-2009,88.53705570485525,2005,2009
56,3,2010-2014,90.75368618123603,2010,2014
56,4,2015-2019,91.74952884217939,2015,2019
56,5,2020-2024,97.96803792205552,2020,2024
57,1,2000-2004,88.84931114899781,2000,2004
57,2,2005-2009,91.13041547522349,2005,2009
57,3,2010-2014,93.48114470675317,2010,2014
57,4,2015-2019,94.46616662290239,2015,2019
57,5,2020-2024,100.79060203283439,2020,2024
128,1,2000-2004,96.52156732602793,2000,2004
128,2,2005-2009,98.63579259620379,2005,2009
128,3,2010-2014,101.09292580663852,2010,2014
128,4,2015-2019,101.7957691354935,2015,2019
128,5,2020-2024,107.88850396650547,2020,2024
129,1,2000-2004,83.59954675785724,2000,2004
129,2,2005-2009,86.16000201948339,2005,2009
129,3,2010-2014,88.76165740034439,2010,2014
129,4,2015-2019,90.12050062346148,2015,2019
129,5,2020-2024,97.16647025353124,2020,2024
130,1,2000-2004,82.97617405419429,2000,2004
130,2,2005-2009,85.57402174274505,2005,2009
130,3,2010-2014,88.17592072234802,2010,2014
130,4,2015-2019,89.59331665371143,2015,2019
130,5,2020-2024,96.73300916941834,2020,2024
198,1,2000-2004,85.10214546418925,2000,2004
198,2,2005-2009,87.65558009122348,2005,2009
198,3,2010-2014,90.23517889150189,2010,2014
198,4,2015-2019,91.56672288763473,2015,2019
198,5,2020-2024,98.64535221280396,2020,2024
199,1,2000-2004,87.31942185417469,2000,2004
199,2,2005-2009,89.71655609787277,2005,2009
199,3,2010-2014,92.16397480425596,2010,2014
199,4,2015-2019,93.25671611815984,2015,2019
199,5,2020-2024,99.95091943217531,2020,2024
203,1,2000-2004,87.69369660680209,2000,2004
203,2,2005-2009,90.09443256479759,2005,2009
203,3,2010-2014,92.58454821770071,2010,2014
203,4,2015-2019,93.6850421643729,2015,2019
203,5,2020-2024,100.3790031070208,2020,2024
204,1,2000-2004,87.88439804873911,2000,2004
204,2,2005-2009,90.25211954083908,2005,2009
204,3,2010-2014,92.66063777894281,2010,2014
204,4,2015-2019,93.73173357189661,2015,2019
204,5,2020-2024,100.35205543747405,2020,2024
270,1,2000-2004,83.48088913541403,2000,2004
270,2,2005-2009,86.14814647475733,2005,2009
270,3,2010-2014,88.84774569352129,2010,2014
270,4,2015-2019,90.30355090282562,2015,2019
270,5,2020-2024,97.66069438826035,2020,2024
271,1,2000-2004,83.43676675073569,2000,2004
271,2,2005-2009,86.10738545807874,2005,2009
271,3,2010-2014,88.78643116782655,2010,2014
271,4,2015-2019,90.26233441591727,2015,2019
271,5,2020-2024,97.64181800170846,2020,2024
272,1,2000-2004,84.1940420527826,2000,2004
272,2,2005-2009,86.83644491300835,2005,2009
272,3,2010-2014,89.51333781392074,2010,2014
272,4,2015-2019,90.93624310433783,2015,2019
272,5,2020-2024,98.23732832903151,2020,2024
274,1,2000-2004,87.58244264590144,2000,2004
274,2,2005-2009,90.06818131058878,2005,2009
274,3,2010-2014,92.6650355582068,2010,2014
274,4,2015-2019,93.82781967372286,2015,2019
274,5,2020-2024,100.74522271167373,2020,2024
276,1,2000-2004,87.7870317552489,2000,2004
276,2,2005-2009,90.21059196773486,2005,2009
276,3,2010-2014,92.74840589296242,2010,2014
276,4,2015-2019,93.83002282729318,2015,2019
276,5,2020-2024,100.57698469621671,2020,2024
277,1,2000-2004,87.88142893844132,2000,2004
277,2,2005-2009,90.39690195375559,2005,2009
277,3,2010-2014,93.06256901342884,2010,2014
277,4,2015-2019,94.26570006899686,2015,2019
277,5,2020-2024,101.27229090081104,2020,2024
341,1,2000-2004,70.9166042937265,2000,2004
341,2,2005-2009,73.43896878970108,2005,2009
341,3,2010-2014,75.90880675780693,2010,2014
341,4,2015-2019,77.65065013148853,2015,2019
341,5,2020-2024,85.15820272514082,2020,2024
342,1,2000-2004,74.63161521247704,2000,2004
342,2,2005-2009,76.98138431231715,2005,2009
342,3,2010-2014,79.50622402113218,2010,2014
342,4,2015-2019,80.80765543266494,2015,2019
342,5,2020-2024,87.69173063536844,2020,2024
343,1,2000-2004,74.30113054147662,2000,2004
343,2,2005-2009,76.5441208459738,2005,2009
343,3,2010-2014,78.93604695866958,2010,2014
343,4,2015-2019,80.16237854219513,2015,2019
343,5,2020-2024,86.83730041736287,2020,2024
344,1,2000-2004,73.26244398841109,2000,2004
344,2,2005-2009,75.69409548288114,2005,2009
344,3,2010-2014,78.10186600456025,2010,2014
344,4,2015-2019,79.57782028191664,2015,2019
344,5,2020-2024,86.78093609334543,2020,2024
345,1,2000-2004,72.21404432285131,2000,2004
345,2,2005-2009,74.82847415589251,2005,2009
345,3,2010-2014,77.32059008300435,2010,2014
345,4,2015-2019,79.17068843049557,2015,2019
345,5,2020-2024,86.9939263697739,2020,2024
347,1,2000-2004,75.8101987885604,2000,2004
347,2,2005-2009,78.52460018444675,2005,2009
347,3,2010-2014,81.14389036931925,2010,2014
347,4,2015-2019,82.90129309788307,2015,2019
347,5,2020-2024,90.6566397240519,2020,2024
412,1,2000-2004,87.9849146913674,2000,2004
412,2,2005-2009,90.39778871734707,2005,2009
412,3,2010-2014,92.86064660247004,2010,2014
412,4,2015-2019,93.94943325607764,2015,2019
412,5,2020-2024,100.43334022293426,2020,2024
413,1,2000-2004,87.32474079541464,2000,2004
413,2,2005-2009,89.70374866303665,2005,2009
413,3,2010-2014,92.08200408108567,2010,2014
413,4,2015-2019,93.1739083161328,2015,2019
413,5,2020-2024,99.61623563925797,2020,2024
414,1,2000-2004,85.65805127881492,2000,2004
414,2,2005-2009,88.03235797649364,2005,2009
414,3,2010-2014,90.41178785749835,2010,2014
414,4,2015-2019,91.50803088397299,2015,2019
414,5,2020-2024,97.9411793041304,2020,2024
415,1,2000-2004,86.89689572725099,2000,2004
415,2,2005-2009,89.2742252750166,2005,2009
415,3,2010-2014,91.65893374467376,2010,2014
415,4,2015-2019,92.73104267144474,2015,2019
415,5,2020-2024,99.05900037959515,2020,2024
416,1,2000-2004,86.72609102546282,2000,2004
416,2,2005-2009,89.0986138805119,2005,2009
416,3,2010-2014,91.46463621132071,2010,2014
416,4,2015-2019,92.55444026525176,2015,2019
416,5,2020-2024,98.86601796653854,2020,2024
417,1,2000-2004,78.13321569768928,2000,2004
417,2,2005-2009,80.42944851894416,2005,2009
417,3,2010-2014,82.9419564199567,2010,2014
417,4,2015-2019,84.03036387426282,2015,2019
417,5,2020-2024,90.63845584502721,2020,2024
418,1,2000-2004,80.01707457883873,2000,2004
418,2,2005-2009,82.37746749065391,2005,2009
418,3,2010-2014,85.0386218343461,2010,2014
418,4,2015-2019,86.16278727506703,2015,2019
418,5,2020-2024,92.97076948726956,2020,2024
483,1,2000-2004,67.35367585453182,2000,2004
483,2,2005-2009,69.80476325079893,2005,2009
483,3,2010-2014,72.30444388023174,2010,2014
483,4,2015-2019,74.37131947280133,2015,2019
483,5,2020-2024,82.60195144310909,2020,2024
484,1,2000-2004,68.5673129409332,2000,2004
484,2,2005-2009,71.06136798369185,2005,2009
484,3,2010-2014,73.59920299480939,2010,2014
484,4,2015-2019,75.67947431296271,2015,2019
484,5,2020-2024,83.95756250346244,2020,2024
485,1,2000-2004,68.07603493109062,2000,2004
485,2,2005-2009,70.54515169659446,2005,2009
485,3,2010-2014,73.0408678029881,2010,2014
485,4,2015-2019,75.10006755687687,2015,2019
485,5,2020-2024,83.30831150690715,2020,2024
486,1,2000-2004,66.96390615390673,2000,2004
486,2,2005-2009,69.38735897247483,2005,2009
486,3,2010-2014,71.84429712364721,2010,2014
486,4,2015-2019,73.89276973234807,2015,2019
486,5,2020-2024,82.03692569515312,2020,2024
487,1,2000-2004,68.32615243776301,2000,2004
487,2,2005-2009,70.81393180560224,2005,2009
487,3,2010-2014,73.31463393699427,2010,2014
487,4,2015-2019,75.36725933830942,2015,2019
487,5,2020-2024,83.58142897880127,2020,2024
488,1,2000-2004,68.09850323882695,2000,2004
488,2,2005-2009,70.59088715223845,2005,2009
488,3,2010-2014,73.07812833201395,2010,2014
488,4,2015-2019,75.10265714663083,2015,2019
488,5,2020-2024,83.26778506280824,2020,2024
493,1,2000-2004,68.8227369730469,2000,2004
493,2,2005-2009,71.34540050640021,2005,2009
493,3,2010-2014,73.8981219812127,2010,2014
493,4,2015-2019,75.97275069739413,2015,2019
493,5,2020-2024,84.23851203542576,2020,2024
554,1,2000-2004,68.56857705596947,2000,2004
554,2,2005-2009,71.07871735129133,2005,2009
554,3,2010-2014,73.6905596369325,2010,2014
554,4,2015-2019,75.81776581997619,2015,2019
554,5,2020-2024,84.2650309223871,2020,2024
555,1,2000-2004,67.57795365612492,2000,2004
555,2,2005-2009,70.04866927024099,2005,2009
555,3,2010-2014,72.6177394362549,2010,2014
555,4,2015-2019,74.73060571955311,2015,2019
555,5,2020-2024,83.11227132854684,2020,2024
556,1,2000-2004,66.20501143695174,2000,2004
556,2,2005-2009,68.63418152301942,2005,2009
556,3,2010-2014,71.1590509867047,2010,2014
556,4,2015-2019,73.24261121992642,2015,2019
556,5,2020-2024,81.51713446163286,2020,2024
557,1,2000-2004,66.31321782817656,2000,2004
557,2,2005-2009,68.76031244281626,2005,2009
557,3,2010-2014,71.29904927750916,2010,2014
557,4,2015-2019,73.38156347183971,2015,2019
557,5,2020-2024,81.6631835207141,2020,2024
558,1,2000-2004,66.86188606959306,2000,2004
558,2,2005-2009,69.34894053521536,2005,2009
558,3,2010-2014,71.8989105664365,2010,2014
558,4,2015-2019,73.96404117617506,2015,2019
558,5,2020-2024,82.24326150845643,2020,2024
559,1,2000-2004,69.83272373344322,2000,2004
559,2,2005-2009,72.46364258220524,2005,2009
559,3,2010-2014,75.1300860283487,2010,2014
559,4,2015-2019,77.21264825016877,2015,2019
559,5,2020-2024,85.63735559414876,2020,2024
560,1,2000-2004,71.97088181382674,2000,2004
560,2,2005-2009,74.70352380666533,2005,2009
560,3,2010-2014,77.42745221336298,2010,2014
560,4,2015-2019,79.4241673762604,2015,2019
560,5,2020-2024,87.79360921327786,2020,2024
561,1,2000-2004,74.89062614673642,2000,2004
561,2,2005-2009,77.61090282553874,2005,2009
561,3,2010-2014,80.31573141189313,2010,2014
561,4,2015-2019,82.08135238944486,2015,2019
561,5,2020-2024,90.12389310778195,2020,2024
563,1,2000-2004,82.12013519352324,2000,2004
563,2,2005-2009,85.00024740035583,2005,2009
563,3,2010-2014,87.99869573169042,2010,2014
563,4,2015-2019,89.61892187150279,2015,2019
563,5,2020-2024,97.59910711194138,2020,2024
564,1,2000-2004,84.96870712775821,2000,2004
564,2,2005-2009,87.8724766385083,2005,2009
564,3,2010-2014,90.93077070536314,2010,2014
564,4,2015-2019,92.50873040209903,2015,2019
564,5,2020-2024,100.44893311554668,2020,2024
566,1,2000-2004,82.96092229609407,2000,2004
566,2,2005-2009,85.78723878517881,2005,2009
566,3,2010-2014,88.73075638863764,2010,2014
