grid_cell,richness_trend,shannon_trend,phylo_pd_trend,phylo_mpd_trend,trait_volume_trend,trait_dispersion_trend,trait_rao_q_trend,mean_corrected_richness,grid_id,centroid_lon,centroid_lat,area_km2,bio1,bio4,bio12,bio15,elev_mean,elev_sd,texture_shannon,texture_entropy,texture_contrast,npp_mean,landcover_trees,landcover_cropland,landcover_built,mean_temporal_beta,mean_temporal_shift_cwm
1,1.5512918299741414,0.023467204869210567,16.173357400000093,-0.5646194643345732,-0.03500181227020079,-0.005353599728429699,-6.855085716870238e-5,30.13804340112443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03427164546105072,0.16824119359466116
2,1.5501813113656409,0.02428574241344349,16.149903199999972,-0.5451918342388442,-0.036827201415559646,-0.006680823309425198,-5.341265157540848e-5,29.30083726097139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035621076366446104,0.18480563424628438
3,1.5519008494524273,0.023061590138588196,13.211664000000065,-0.5332816307994861,-0.036617237171514924,-0.006282520222739308,-5.926003180449104e-5,30.22681700848123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03393603767605701,0.16814974673549865
4,1.454205713344455,0.0195995563394109,13.107869300000148,-0.5570707276344373,-0.028721677763510593,-0.003201406956268617,-9.769600377969396e-5,32.76607785743053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029916186205286042,0.1623455433427996
5,1.634449192950764,0.02563987029806126,9.071842800000004,-0.4551982213430947,-0.03418380362610611,-0.006693490218678434,-2.9991143506954903e-5,29.684076959202812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03490667043210066,0.13660890611318463
6,1.6475240100656148,0.025997582120795355,9.11863059999992,-0.44485539382871164,-0.03429257240975892,-0.006487504594425296,-2.7680472861235017e-5,29.457402291611487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03547745181930845,0.13589737882294017
7,1.6655262314475876,0.025015828476153464,16.20913770000003,-0.4637238578383721,-0.03592545710743421,-0.006158546616779776,-2.5937616660631598e-5,29.62559957189422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0362740775029172,0.14391370404875503
8,1.6050318676624606,0.023865100507692957,16.173357399999972,-0.5559862518490538,-0.035190015557705,-0.005558304619928513,-6.158677258382446e-5,30.02144404633198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035587816986308356,0.16868178975608797
9,1.604331369552519,0.023396034570204026,16.173357400000093,-0.5473932971093609,-0.03486655530793246,-0.0055591867361076625,-4.9890185387685934e-5,30.269648585240777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03507376660163555,0.163625718528908
10,1.5931167945143465,0.023191901207994754,16.173357399999972,-0.570573217610422,-0.03479190043246225,-0.005111064697458425,-5.6316910425891544e-5,30.062711501406646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035700465296972406,0.17273572246900426
11,1.7048416532240664,0.025565378071053517,15.090582400000047,-0.4455362794068767,-0.03471620773242876,-0.006353049056419055,-1.894057205403696e-5,29.655181564915456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03674651303021906,0.14154631550814978
12,1.7121487590632,0.025625157382266044,19.317991100000036,-0.43297679985946097,-0.03520974478087253,-0.006258024459840163,-1.2645438577753955e-5,29.476689656144245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037212133877740854,0.1425076873524577
13,1.7014303350969937,0.0252596153603504,16.209137700000085,-0.4507487732135737,-0.035231313330686465,-0.006226408784395554,-1.9185740353446518e-5,29.687265203995455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03679199037681085,0.14283701658284834
14,1.640540921596078,0.023594885960941468,16.173357399999972,-0.5420069169723771,-0.034395783083193146,-0.005406961753492947,-5.288895238482144e-5,30.442056719952202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03545635908843571,0.15892660260012062
15,1.6163089200003093,0.023283013233562383,16.173357400000093,-0.5722038241269081,-0.03429667424115933,-0.005579930696092292,-6.584189337213993e-5,30.50672637006806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03524271493145395,0.17059008042340987
