species,block_id,block_label,mean_psi
Passer montanus,1,2000-2004,0.8922211293313794
Passer montanus,2,2005-2009,0.9187103650851319
Passer montanus,3,2010-2014,0.9479397793705814
Passer montanus,4,2015-2019,0.9698866167438986
Passer montanus,5,2020-2024,0.9808223134732654
Motacilla alba,1,2000-2004,0.9132956372510785
Motacilla alba,2,2005-2009,0.9284881169189398
Motacilla alba,3,2010-2014,0.9495985094867834
Motacilla alba,4,2015-2019,0.9609448190108804
Motacilla alba,5,2020-2024,0.9793004847189963
Hirundo rustica,1,2000-2004,0.7671296579107362
Hirundo rustica,2,2005-2009,0.8197820706217588
Hirundo rustica,3,2010-2014,0.8834190106274387
Hirundo rustica,4,2015-2019,0.9227103102451251
Hirundo rustica,5,2020-2024,0.9278898255797778
Parus minor,1,2000-2004,0.5904691772064343
Parus minor,2,2005-2009,0.6049775571178416
Parus minor,3,2010-2014,0.6309322286912552
Parus minor,4,2015-2019,0.6390154011959038
Parus minor,5,2020-2024,0.7046866103151203
Pica serica,1,2000-2004,0.3765900729527081
Pica serica,2,2005-2009,0.4397232039014825
Pica serica,3,2010-2014,0.6012251603103672
Pica serica,4,2015-2019,0.6813297225118956
Pica serica,5,2020-2024,0.7281314247620319
Streptopelia orientalis,1,2000-2004,0.7000878049910968
Streptopelia orientalis,2,2005-2009,0.7538749753040296
Streptopelia orientalis,3,2010-2014,0.805854530820196
Streptopelia orientalis,4,2015-2019,0.8490627952595932
Streptopelia orientalis,5,2020-2024,0.9126763879185916
Phoenicurus auroreus,1,2000-2004,0.5608714955553273
Phoenicurus auroreus,2,2005-2009,0.6083793635733098
Phoenicurus auroreus,3,2010-2014,0.6564831822096739
Phoenicurus auroreus,4,2015-2019,0.6624288949583185
Phoenicurus auroreus,5,2020-2024,0.7510775090162236
Spilopelia chinensis,1,2000-2004,0.3356798627091934
Spilopelia chinensis,2,2005-2009,0.4159148091677614
Spilopelia chinensis,3,2010-2014,0.5089903636228166
Spilopelia chinensis,4,2015-2019,0.5608242111996327
Spilopelia chinensis,5,2020-2024,0.5837974842366358
Falco tinnunculus,1,2000-2004,0.8013382833787478
Falco tinnunculus,2,2005-2009,0.811237352817899
Falco tinnunculus,3,2010-2014,0.850582212693483
Falco tinnunculus,4,2015-2019,0.906309615438692
Falco tinnunculus,5,2020-2024,0.9352764999772796
Pycnonotus sinensis,1,2000-2004,0.36076572065268
Pycnonotus sinensis,2,2005-2009,0.38021348395820553
Pycnonotus sinensis,3,2010-2014,0.4449636215318609
Pycnonotus sinensis,4,2015-2019,0.4631272562996398
Pycnonotus sinensis,5,2020-2024,0.49479670467101866
Egretta garzetta,1,2000-2004,0.3807572875365634
Egretta garzetta,2,2005-2009,0.4714446654242737
Egretta garzetta,3,2010-2014,0.5015191579096124
Egretta garzetta,4,2015-2019,0.5365698402156623
Egretta garzetta,5,2020-2024,0.6051263679492765
Tachybaptus ruficollis,1,2000-2004,0.4447543244137746
Tachybaptus ruficollis,2,2005-2009,0.5532311917570331
Tachybaptus ruficollis,3,2010-2014,0.6058312071193813
Tachybaptus ruficollis,4,2015-2019,0.7246168371364207
Tachybaptus ruficollis,5,2020-2024,0.7368410033750912
Upupa epops,1,2000-2004,0.8120851711034972
Upupa epops,2,2005-2009,0.8350185242806984
Upupa epops,3,2010-2014,0.8483354964595717
Upupa epops,4,2015-2019,0.8672113916623462
Upupa epops,5,2020-2024,0.89764821561605
Ardea cinerea,1,2000-2004,0.5627367491238134
Ardea cinerea,2,2005-2009,0.6215067890352746
Ardea cinerea,3,2010-2014,0.6937198717357032
Ardea cinerea,4,2015-2019,0.7660609451721625
Ardea cinerea,5,2020-2024,0.8536472779712377
Alcedo atthis,1,2000-2004,0.5522017282433365
Alcedo atthis,2,2005-2009,0.6142854229550431
Alcedo atthis,3,2010-2014,0.6849067863833136
Alcedo atthis,4,2015-2019,0.6950000063894566
Alcedo atthis,5,2020-2024,0.7037653229493556
Lanius schach,1,2000-2004,0.3225712518689932
Lanius schach,2,2005-2009,0.33711203694940595
Lanius schach,3,2010-2014,0.3998623508808591
Lanius schach,4,2015-2019,0.43218972284894763
Lanius schach,5,2020-2024,0.45613991317415914
Anas platyrhynchos,1,2000-2004,0.6965089179132568
Anas platyrhynchos,2,2005-2009,0.7023159107333363
Anas platyrhynchos,3,2010-2014,0.7116978121887154
Anas platyrhynchos,4,2015-2019,0.8052600607794661
Anas platyrhynchos,5,2020-2024,0.8727058991778529
Phasianus colchicus,1,2000-2004,0.527943780561525
Phasianus colchicus,2,2005-2009,0.6288703741598444
Phasianus colchicus,3,2010-2014,0.7042564518741042
Phasianus colchicus,4,2015-2019,0.7188483391942948
Phasianus colchicus,5,2020-2024,0.8168131478593534
Motacilla cinerea,1,2000-2004,0.7611047933681858
Motacilla cinerea,2,2005-2009,0.8159425681376042
Motacilla cinerea,3,2010-2014,0.8289170277396405
Motacilla cinerea,4,2015-2019,0.8167243708035251
Motacilla cinerea,5,2020-2024,0.9051239137656875
Cecropis daurica,1,2000-2004,0.6496534602607817
Cecropis daurica,2,2005-2009,0.6447307194228058
Cecropis daurica,3,2010-2014,0.6675612251834122
Cecropis daurica,4,2015-2019,0.6755131333790925
Cecropis daurica,5,2020-2024,0.7040440953588581
Chloris sinica,1,2000-2004,0.46790888898241706
Chloris sinica,2,2005-2009,0.48362305174129494
Chloris sinica,3,2010-2014,0.6071540627086979
Chloris sinica,4,2015-2019,0.6343953858033992
Chloris sinica,5,2020-2024,0.7156883755818675
Ardeola bacchus,1,2000-2004,0.5459901231556046
Ardeola bacchus,2,2005-2009,0.46540959235502755
Ardeola bacchus,3,2010-2014,0.5373647447162806
Ardeola bacchus,4,2015-2019,0.5423203226632588
Ardeola bacchus,5,2020-2024,0.5691787725837976
Anthus hodgsoni,1,2000-2004,0.6570271297097204
Anthus hodgsoni,2,2005-2009,0.6285415180629887
Anthus hodgsoni,3,2010-2014,0.6971981795606093
Anthus hodgsoni,4,2015-2019,0.6122108811649917
Anthus hodgsoni,5,2020-2024,0.7149699881629632
Ardea alba,1,2000-2004,0.5776816191703519
Ardea alba,2,2005-2009,0.6336250950689494
Ardea alba,3,2010-2014,0.6459277212552459
Ardea alba,4,2015-2019,0.7336293849007202
Ardea alba,5,2020-2024,0.7797106277350251
Gallinula chloropus,1,2000-2004,0.37084955292915395
Gallinula chloropus,2,2005-2009,0.44674139823650144
Gallinula chloropus,3,2010-2014,0.5676240096948145
Gallinula chloropus,4,2015-2019,0.6365988668831003
Gallinula chloropus,5,2020-2024,0.7345097397858829
Tadorna ferruginea,1,2000-2004,0.5851278786082171
Tadorna ferruginea,2,2005-2009,0.639531506597611
Tadorna ferruginea,3,2010-2014,0.6366085716099054
Tadorna ferruginea,4,2015-2019,0.6612245476505659
Tadorna ferruginea,5,2020-2024,0.7785548680451955
Cuculus canorus,1,2000-2004,0.7713379794826211
Cuculus canorus,2,2005-2009,0.7994170723827578
Cuculus canorus,3,2010-2014,0.834942936418061
Cuculus canorus,4,2015-2019,0.8370312665039027
Cuculus canorus,5,2020-2024,0.9084394123568105
Phalacrocorax carbo,1,2000-2004,0.6071775408027971
Phalacrocorax carbo,2,2005-2009,0.6159932008823763
Phalacrocorax carbo,3,2010-2014,0.6531880039658983
Phalacrocorax carbo,4,2015-2019,0.6897849633655212
Phalacrocorax carbo,5,2020-2024,0.8201795783064149
Turdus mandarinus,1,2000-2004,0.3385840422988422
Turdus mandarinus,2,2005-2009,0.41009781235637077
Turdus mandarinus,3,2010-2014,0.46642962861221066
Turdus mandarinus,4,2015-2019,0.4666311634752988
Turdus mandarinus,5,2020-2024,0.4795851854366779
Anas zonorhyncha,1,2000-2004,0.44974475396103153
Anas zonorhyncha,2,2005-2009,0.4956685765651126
Anas zonorhyncha,3,2010-2014,0.5446780043405217
Anas zonorhyncha,4,2015-2019,0.6063497833856781
Anas zonorhyncha,5,2020-2024,0.715041452816563
Acridotheres cristatellus,1,2000-2004,0.3069976958866556
Acridotheres cristatellus,2,2005-2009,0.34715243058454337
