species,block_id,block_label,detection_prob_mean,detection_prob_median,detection_prob_l95,detection_prob_u95
Passer montanus,1,2000-2004,0.41708669953351624,0.41740077040166057,0.39896119233797106,0.43315726998598914
Passer montanus,2,2005-2009,0.4170790120423361,0.417391023784326,0.39895508538557706,0.43314970747257436
Passer montanus,3,2010-2014,0.46801808318897087,0.4690915273378837,0.45388775918019814,0.48264981162097764
Passer montanus,4,2015-2019,0.6317572732987277,0.6317129189391634,0.6135543627036882,0.6449922126933726
Passer montanus,5,2020-2024,0.8275559858300404,0.8278051127592787,0.8148213178295548,0.8382298372618657
Motacilla alba,1,2000-2004,0.36151754183605495,0.3604598083881666,0.34578914144606687,0.38097090451475396
Motacilla alba,2,2005-2009,0.3615226817401237,0.3604546222110572,0.34579513638968706,0.3809723500419813
Motacilla alba,3,2010-2014,0.40143404164171026,0.4007152267608276,0.38655555010554743,0.41896143223846444
Motacilla alba,4,2015-2019,0.5790313510614113,0.5782165101396146,0.5679724130154941,0.5933307461589948
Motacilla alba,5,2020-2024,0.7955224459168988,0.7955024932291472,0.7852599984868067,0.8075874270623639
Hirundo rustica,1,2000-2004,0.2937284705570523,0.29322250235694414,0.27595861596901217,0.31129724289490895
Hirundo rustica,2,2005-2009,0.2937415037609504,0.2932361335820025,0.27596953952715964,0.3113179189666052
Hirundo rustica,3,2010-2014,0.30918636457154813,0.3088122372025547,0.2969863443983718,0.32218727219140486
Hirundo rustica,4,2015-2019,0.4382890789515127,0.43909674629088324,0.4231141866387065,0.4503700807340436
Hirundo rustica,5,2020-2024,0.6186648141435731,0.6188578217963099,0.6057058084608913,0.6289903579706502
Parus minor,1,2000-2004,0.3146995495061897,0.31345607969811506,0.2959846801464661,0.33616182062968175
Parus minor,2,2005-2009,0.3147018126070428,0.3134551853451165,0.2959817839203012,0.3361605868480414
Parus minor,3,2010-2014,0.3202116048307451,0.3204515647000869,0.3051367058487441,0.33735782296732153
Parus minor,4,2015-2019,0.47286176285099607,0.4728263669314169,0.45548223111753283,0.4922280382711877
Parus minor,5,2020-2024,0.6603190863520234,0.6617913635927313,0.6429683396357663,0.674695586070282
Pica serica,1,2000-2004,0.4159684157786822,0.4161060219431955,0.3953903217541492,0.43843733750837444
Pica serica,2,2005-2009,0.4159622306236353,0.41609580013878655,0.3953833711122954,0.4384133357778239
Pica serica,3,2010-2014,0.4079529194399336,0.4075141179012829,0.3874947228016467,0.4303251417437737
Pica serica,4,2015-2019,0.5154906709046012,0.5158768479462685,0.4954465709192196,0.5340462004238596
Pica serica,5,2020-2024,0.6272301548933328,0.6271971051479597,0.6112503364605457,0.6424070482088098
Streptopelia orientalis,1,2000-2004,0.19348896353107,0.19322767409918146,0.1830637830555667,0.20672356166095412
Streptopelia orientalis,2,2005-2009,0.19349027661529614,0.1932313225221306,0.18306751914546326,0.2067270633199085
Streptopelia orientalis,3,2010-2014,0.1993714342277363,0.1985523733361108,0.19005398082986394,0.20989923205180985
Streptopelia orientalis,4,2015-2019,0.30453728682635794,0.30491281682373006,0.29140361139332027,0.31856114505888616
Streptopelia orientalis,5,2020-2024,0.46775133520155954,0.4679057929091386,0.4514395794803569,0.48247207819522375
Phoenicurus auroreus,1,2000-2004,0.21563846801028735,0.21557625464169042,0.20047937356800735,0.23010070599015361
Phoenicurus auroreus,2,2005-2009,0.21564199033724546,0.2155837465603089,0.20048580746115102,0.23010786908272993
Phoenicurus auroreus,3,2010-2014,0.22321170926717523,0.22421272601214,0.21056575122205967,0.2354125366815461
Phoenicurus auroreus,4,2015-2019,0.34986947095852694,0.34972191352819193,0.3338049178866814,0.3665580477398031
Phoenicurus auroreus,5,2020-2024,0.539472407144295,0.540013407398718,0.5254360187006695,0.553716333790698
Spilopelia chinensis,1,2000-2004,0.30804071788004184,0.3083590518836197,0.2902634576465629,0.32813282842656527
Spilopelia chinensis,2,2005-2009,0.30804020997032994,0.30835854009944874,0.2902689804335503,0.32812143159004614
Spilopelia chinensis,3,2010-2014,0.31487075161567724,0.3156185813961725,0.2899803443683106,0.33102542615482317
Spilopelia chinensis,4,2015-2019,0.4452118054197856,0.4453135297040091,0.42815206044957116,0.4648835910580118
Spilopelia chinensis,5,2020-2024,0.6134219023677465,0.6148693850077507,0.5981931156824889,0.6280659691115006
Falco tinnunculus,1,2000-2004,0.182968588954781,0.18255104312073067,0.1695112139210311,0.19592949509918084
Falco tinnunculus,2,2005-2009,0.18297192669181667,0.1825553198024632,0.16951911973423067,0.1959350942612208
Falco tinnunculus,3,2010-2014,0.20115293425471037,0.2007002436353098,0.18931426769631932,0.21469614319682176
Falco tinnunculus,4,2015-2019,0.28405443261506685,0.28394263201673164,0.27075972126135495,0.29958236084748174
Falco tinnunculus,5,2020-2024,0.4369886033474735,0.437235352143328,0.4243348506924302,0.4503828745749826
Pycnonotus sinensis,1,2000-2004,0.38762679086357243,0.3877312711071305,0.3663939131230988,0.41387401008509495
Pycnonotus sinensis,2,2005-2009,0.3876678979277711,0.387767551555418,0.36642675311831413,0.4139183041290625
Pycnonotus sinensis,3,2010-2014,0.4163038966120048,0.4151840102093338,0.39593258149535043,0.44313994734288603
Pycnonotus sinensis,4,2015-2019,0.5425087511482369,0.5423516900426018,0.5195308778364919,0.5654054369513427
Pycnonotus sinensis,5,2020-2024,0.7120503453902364,0.7120252662015825,0.6912597922068167,0.7307222456490264
Egretta garzetta,1,2000-2004,0.2802148245717022,0.28070957018636344,0.259232949640642,0.29574982865912375
Egretta garzetta,2,2005-2009,0.2802509514108966,0.2807594772571172,0.25926300234340194,0.29579776232415167
Egretta garzetta,3,2010-2014,0.29173233643084884,0.2927246578117599,0.26806014271052236,0.3084284412608353
Egretta garzetta,4,2015-2019,0.411748518384658,0.4123454091731533,0.39193526448734456,0.42938410677440336
Egretta garzetta,5,2020-2024,0.5803022150110321,0.5806863043290342,0.5622900371195343,0.5989884899131613
Tachybaptus ruficollis,1,2000-2004,0.2338872779137389,0.23452864401136936,0.2176609101384209,0.2547729302707152
Tachybaptus ruficollis,2,2005-2009,0.23389375789341382,0.23453335555252064,0.21766506674227484,0.2547865315561511
Tachybaptus ruficollis,3,2010-2014,0.22412211769096752,0.2245835399179233,0.20870778138000518,0.23939855382702752
Tachybaptus ruficollis,4,2015-2019,0.3490465800132956,0.34920580358072184,0.3346731275582481,0.3667549011040061
Tachybaptus ruficollis,5,2020-2024,0.5047402095090046,0.5048928059868415,0.4906941182513413,0.5209891484756681
Upupa epops,1,2000-2004,0.20259809257365535,0.20201930805630286,0.19139184391541839,0.2156577466423955
Upupa epops,2,2005-2009,0.20259666786985744,0.20201883101584794,0.19139330632377202,0.21565723520231367
Upupa epops,3,2010-2014,0.2107941786717274,0.21138791532432694,0.19862473215831122,0.22441601919156198
Upupa epops,4,2015-2019,0.2936903802901648,0.29347964755003136,0.28079383580848355,0.3076407759365014
Upupa epops,5,2020-2024,0.4243226454764204,0.42322041409896805,0.4086659805481969,0.4377960033440764
Ardea cinerea,1,2000-2004,0.21904297111730386,0.2186976387238077,0.2065186265633358,0.23254779145515453
Ardea cinerea,2,2005-2009,0.21904539384960406,0.2187036940238974,0.20652444082174182,0.2325527396126255
Ardea cinerea,3,2010-2014,0.22096680812103894,0.2217857874281728,0.20617110617339787,0.23751745333816557
Ardea cinerea,4,2015-2019,0.3233677233989802,0.32266840416093945,0.3118336326340168,0.3377924337311229
Ardea cinerea,5,2020-2024,0.4690960333438313,0.46790181323752833,0.4578308323899169,0.48566365850268917
Alcedo atthis,1,2000-2004,0.18052453313502878,0.18043659963424663,0.16818097801114218,0.1935749014997509
Alcedo atthis,2,2005-2009,0.1805472026672053,0.18046502891487254,0.16820166727553434,0.19359462526220966
Alcedo atthis,3,2010-2014,0.17250811837917568,0.17263010519815225,0.16197507525103239,0.18315650212725906
Alcedo atthis,4,2015-2019,0.2888907262873215,0.28761035781210686,0.27239878566859893,0.30532534554457785
Alcedo atthis,5,2020-2024,0.44943065398202786,0.4498311577885197,0.4311417837743975,0.4684758123498943
Lanius schach,1,2000-2004,0.3400502936296524,0.3384329921536515,0.3172778431687357,0.3717811366699937
Lanius schach,2,2005-2009,0.3400620037327036,0.33844922077027634,0.3172790162394958,0.37180953423163365
Lanius schach,3,2010-2014,0.3394203531003484,0.33917892440447234,0.32030411725842944,0.3655672758536725
Lanius schach,4,2015-2019,0.4580830455011354,0.4565417096265276,0.4359524993675773,0.4846037355878715
Lanius schach,5,2020-2024,0.5989992534632177,0.5987678472314117,0.5823383811266449,0.6199214738591249
Anas platyrhynchos,1,2000-2004,0.1860482202009298,0.18583110912954243,0.17471537009375412,0.19830398654033374
Anas platyrhynchos,2,2005-2009,0.18605018681443927,0.18583329506505666,0.17471746199881744,0.19830706025646838
Anas platyrhynchos,3,2010-2014,0.191736008275596,0.19084741429315763,0.18067769596912114,0.2035497299048663
Anas platyrhynchos,4,2015-2019,0.2805968191763181,0.27950851008942523,0.26715198375489174,0.29371729304132044
Anas platyrhynchos,5,2020-2024,0.4200725905341267,0.41970091943898963,0.4060455367077125,0.4375107356882452
Phasianus colchicus,1,2000-2004,0.21248542440959983,0.2129629726839572,0.19888116145079932,0.2270150249203478
Phasianus colchicus,2,2005-2009,0.2124872952759559,0.21296673992801413,0.1988785511383475,0.22701480048256206
Phasianus colchicus,3,2010-2014,0.20148193250922874,0.2015838055775262,0.18833372345432153,0.21333844785419911
Phasianus colchicus,4,2015-2019,0.3108653550502538,0.31159154031820824,0.2961103889840775,0.3242849566526196
Phasianus colchicus,5,2020-2024,0.4472149926991102,0.44645768226155186,0.4297446537869902,0.4607709350019466
Motacilla cinerea,1,2000-2004,0.11120708325724815,0.11160274242923904,0.10094878272575658,0.12092101185721914
Motacilla cinerea,2,2005-2009,0.11121276660064434,0.11160975550583958,0.10095893162303321,0.12091877403487969
Motacilla cinerea,3,2010-2014,0.11597608325058963,0.1156904678237215,0.10731398347443136,0.1254867156303652
Motacilla cinerea,4,2015-2019,0.19045464149053773,0.19101448642780844,0.17720389568681988,0.20197200203160928
Motacilla cinerea,5,2020-2024,0.32842121527796597,0.32841172294982435,0.31325075941219516,0.34270428743089115
Cecropis daurica,1,2000-2004,0.17828686742037747,0.1784979780257024,0.16379742788865037,0.19324505245735346
Cecropis daurica,2,2005-2009,0.17828804526845948,0.17850151978152734,0.16379725026942615,0.19325498804519536
Cecropis daurica,3,2010-2014,0.1800406695904126,0.1799325999363084,0.16574396464070784,0.19388524573116894
Cecropis daurica,4,2015-2019,0.27165455702257163,0.27197767673093537,0.25742859845823907,0.28558321663550706
Cecropis daurica,5,2020-2024,0.41063389126139,0.41142445971541863,0.39627864207692687,0.4234104728763123
Chloris sinica,1,2000-2004,0.19842140012574416,0.20001738592653995,0.182667506357134,0.21415487841586514
