year,grids_visited,total_events,mean_events_per_grid
2000,66,212,3.212121212121212
2001,66,186,2.8181818181818183
2002,126,861,6.833333333333333
2003,74,258,3.4864864864864864
2004,131,676,5.1603053435114505
2005,124,727,5.862903225806452
2006,146,821,5.623287671232877
2007,216,1286,5.953703703703703
2008,154,1178,7.64935064935065
2009,161,1112,6.906832298136646
2010,220,2157,9.804545454545455
2011,237,1997,8.426160337552743
2012,299,2464,8.240802675585284
2013,325,3423,10.532307692307691
2014,379,4447,11.733509234828496
2015,449,5636,12.552338530066816
2016,449,7431,16.55011135857461
2017,499,10315,20.671342685370742
2018,592,16151,27.282094594594593
2019,680,20589,30.277941176470588
2020,574,18202,31.71080139372822
2021,724,31864,44.011049723756905
2022,745,43718,58.681879194630874
2023,1054,96446,91.50474383301707
2024,1136,191973,168.99031690140845
