parameter,rhat,ess_bulk
b_Intercept,1.0005466873829223,3109.1513044284893
b_z_bio4,1.0001425477409518,2062.1612613170523
b_z_elev_sd,0.9999572010492624,2640.506098971433
b_z_texture_shannon,1.0002433269733202,2780.28820226076
b_z_npp_mean,1.0002225616551372,2063.0298324204714
b_z_landcover_built,1.0021239304824963,2349.237070619735
b_z_habitat_diversity_shannon,1.001432444088397,2864.3576424887437
b_z_hfi_mean,1.001015068111269,1869.2016170049314
b_z_centroid_lat,1.00080402049179,2930.5624660499525
sigma,1.0000396978997776,2751.5340342614036
Intercept,1.0024739428808551,3046.2729255050263
lprior,1.000618669223781,2995.1857110379365
lp__,1.0006045425495296,1625.0073719066531
