parameter,rhat,ess_bulk
b_Intercept,1.000136865175079,2441.840303766667
b_z_bio4,1.0007628613848956,2443.4164047662025
b_z_elev_sd,1.0015250171937424,3579.23588514866
b_z_texture_shannon,1.0009286908170911,3129.1827744783486
b_z_npp_mean,1.0012605557755074,2584.282403739027
b_z_landcover_built,1.002143808568522,2994.2984131085213
b_z_habitat_diversity_shannon,1.000386451372007,3769.078083696695
b_z_hfi_mean,1.0038396913905403,2354.051684628788
b_z_centroid_lat,1.0013466967243796,2322.6608808004817
sigma,1.0086675968092442,442.0585458610903
Intercept,1.001487812073111,2609.565565792223
lprior,1.0047095445345013,804.3845508307949
lp__,1.0035437710038781,911.8608314742874
