sample_slot,parameter,rhat,ess
beta.comm.samples,(Intercept),1.0253695716360876,840.6647897547886
beta.comm.samples,bio7,1.0066138544190837,236.32143612723934
beta.comm.samples,bio11,1.05228083663192,148.09980856551587
beta.comm.samples,bio13,1.004575765802993,291.4375148069925
beta.comm.samples,elev_mean,1.0004950695452692,417.78254618682524
beta.comm.samples,elev_sd,1.011617746594273,156.9876370503677
beta.comm.samples,texture_contrast,1.0113229264350183,92.85820879952641
beta.comm.samples,npp_mean,1.0672414327329618,362.73650320323327
beta.comm.samples,landcover_trees,1.0410149211013815,227.42818588720854
beta.comm.samples,landcover_shrubs,1.0130731143392426,219.04078709657847
beta.comm.samples,landcover_grassland,1.0332751283688633,173.5981542492898
beta.comm.samples,landcover_water,1.0318673249347525,167.9501298541873
beta.comm.samples,habitat_diversity_shannon,1.024466695961036,139.2203722933847
beta.comm.samples,hfi_mean,1.0350965096154399,165.61576849178743
beta.comm.samples,centroid_lat,1.0090772587360601,900
beta.comm.samples,centroid_lon,1.006081144050418,838.704386981596
beta.comm.samples,year_scaled,1.0093845643677806,69.80778068461525
alpha.comm.samples,(Intercept),1.002616460624635,998.3903957993034
alpha.comm.samples,log_events,1.0013206818346896,848.8804893029464
alpha.comm.samples,log_observers,1.0031119541498343,810.522159878929
alpha.comm.samples,duration_min,1.0080471943355638,900
tau.sq.beta.samples,(Intercept),1.0844722694062072,713.2119707463469
tau.sq.beta.samples,bio7,1.0801181720319495,128.80436039955435
tau.sq.beta.samples,bio11,1.005616731083508,76.20833155151053
tau.sq.beta.samples,bio13,1.031458567062437,195.32498544191753
tau.sq.beta.samples,elev_mean,1.0229047287838906,214.05114645001984
tau.sq.beta.samples,elev_sd,1.1122925338700975,110.90253840277687
tau.sq.beta.samples,texture_contrast,1.0930351553641933,51.38672833474813
tau.sq.beta.samples,npp_mean,1.0224678513680263,182.35420067893543
tau.sq.beta.samples,landcover_trees,1.0412435593315943,179.03903576825945
tau.sq.beta.samples,landcover_shrubs,1.2266657419090068,102.1225748136623
tau.sq.beta.samples,landcover_grassland,1.018360510097596,82.47084197754515
tau.sq.beta.samples,landcover_water,1.014280833316716,117.55664909042983
tau.sq.beta.samples,habitat_diversity_shannon,1.0562530379901809,122.53648157208687
tau.sq.beta.samples,hfi_mean,1.0670532546427942,106.7232603898685
tau.sq.beta.samples,centroid_lat,1.0046207398846387,827.0788880393447
tau.sq.beta.samples,centroid_lon,1.017759701894802,729.5392034578459
tau.sq.beta.samples,year_scaled,1.3415519295711136,54.07119788198076
tau.sq.alpha.samples,(Intercept),1.0100627421624921,852.0768537994554
tau.sq.alpha.samples,log_events,1.0046250280645164,1037.8957353238761
tau.sq.alpha.samples,log_observers,1.0004654241812587,764.8110246356136
tau.sq.alpha.samples,duration_min,1.0052667137063334,1062.265113588398
