parameter,mean,median,l95,u95,p_pos,kind,sig95
(Intercept),-0.7659690162393201,-0.7675356337589123,-1.1226255318660887,-0.40622986231347646,0,occupancy,TRUE
bio7,0.007337854989335262,0.008282566862679905,-0.05747098385261574,0.074093368751748,0.58875,occupancy,FALSE
bio11,0.1448906006315032,0.146130075648356,0.0768457923937371,0.21337597839844116,1,occupancy,TRUE
bio13,0.597516584225744,0.5963086109175031,0.5082191828301827,0.694928627409059,1,occupancy,TRUE
elev_mean,-0.9851872709708008,-0.9850229159112603,-1.1459473930530162,-0.812625025494931,0,occupancy,TRUE
elev_sd,0.07023497906317643,0.07057998071045779,0.02519124308802671,0.11220244195575745,0.99875,occupancy,TRUE
texture_contrast,0.06911641374439464,0.06952568993942523,0.018280364631864048,0.11488531559267666,0.995,occupancy,TRUE
npp_mean,-0.17656352262237032,-0.1770976373725598,-0.2596332026333153,-0.09262956876415374,0,occupancy,TRUE
landcover_trees,-0.36798798704574887,-0.36967872632546744,-0.4571507997492994,-0.2792183267816269,0,occupancy,TRUE
landcover_shrubs,-0.10016652503656728,-0.09910590489190337,-0.17161609731333136,-0.03551107421312337,0.0025,occupancy,TRUE
landcover_grassland,-0.11710927732896072,-0.11723454773903141,-0.19769899237919816,-0.03611315336395107,0.00125,occupancy,TRUE
landcover_water,-0.18414737231501366,-0.18440432342223978,-0.22803511559683015,-0.14358206463895337,0,occupancy,TRUE
habitat_diversity_shannon,-0.17664522662073764,-0.17680638101548457,-0.23147169384574834,-0.1266170840595125,0,occupancy,TRUE
hfi_mean,-0.07281418530353673,-0.072629688697529865,-0.15094876022693635,0.004882214083069027,0.03625,occupancy,FALSE
centroid_lat,-0.5812224787890932,-0.5916101251301249,-0.9158009370817135,-0.21469856988752822,0,occupancy,TRUE
centroid_lon,1.134445765725162,1.129220313192263,0.7916518159326293,1.4854148258296487,1,occupancy,TRUE
year_scaled,0.42307901172727097,0.42328546428439195,0.3631505546011337,0.4804166862197335,1,occupancy,TRUE
(Intercept),-2.9469421459087513,-2.9459206601322894,-3.0543810004147596,-2.8447418097114756,0,detection,TRUE
log_events,0.840160136775075,0.8402301303761854,0.8016906477588737,0.8800038037939127,1,detection,TRUE
log_observers,0.13775942306005673,0.13739392681082122,0.10253708187182153,0.17128869214580936,1,detection,TRUE
duration_min,7.350610764270525e-5,1.8094885424092098e-5,-0.004301241811472379,0.004326106918312474,0.5025,detection,FALSE
