grid_cell,cluster
56,Type-A
57,Type-A
128,Type-A
129,Type-A
130,Type-A
198,Type-A
199,Type-A
203,Type-A
270,Type-A
271,Type-A
272,Type-A
274,Type-A
276,Type-A
341,Type-A
342,Type-A
343,Type-A
344,Type-A
345,Type-A
347,Type-A
412,Type-A
413,Type-A
414,Type-A
415,Type-A
416,Type-A
417,Type-A
418,Type-A
483,Type-A
484,Type-A
485,Type-A
486,Type-A
487,Type-A
488,Type-A
554,Type-A
555,Type-A
556,Type-A
557,Type-A
558,Type-A
559,Type-A
560,Type-A
561,Type-A
563,Type-A
564,Type-A
592,Type-C
593,Type-C
625,Type-A
626,Type-A
627,Type-A
628,Type-A
629,Type-A
630,Type-A
631,Type-A
632,Type-A
634,Type-A
635,Type-A
636,Type-A
637,Type-A
640,Type-A
663,Type-C
664,Type-C
665,Type-C
666,Type-C
696,Type-A
698,Type-A
699,Type-A
700,Type-A
701,Type-A
702,Type-A
704,Type-A
705,Type-A
706,Type-A
708,Type-A
710,Type-A
711,Type-A
712,Type-A
716,Type-A
717,Type-A
735,Type-C
736,Type-C
737,Type-C
738,Type-C
772,Type-A
773,Type-A
774,Type-A
775,Type-A
776,Type-A
777,Type-A
778,Type-A
783,Type-A
784,Type-A
785,Type-A
787,Type-A
788,Type-A
804,Type-C
805,Type-C
806,Type-C
807,Type-C
808,Type-C
809,Type-C
810,Type-C
811,Type-C
812,Type-C
813,Type-C
845,Type-A
846,Type-A
847,Type-A
848,Type-A
849,Type-A
850,Type-A
851,Type-A
854,Type-A
855,Type-A
856,Type-A
857,Type-A
858,Type-A
859,Type-A
860,Type-A
876,Type-C
877,Type-C
878,Type-C
879,Type-C
881,Type-C
882,Type-C
883,Type-C
884,Type-C
885,Type-C
916,Type-A
917,Type-A
918,Type-A
919,Type-A
920,Type-A
921,Type-A
922,Type-A
923,Type-A
926,Type-A
927,Type-A
929,Type-A
930,Type-A
931,Type-A
947,Type-C
948,Type-C
949,Type-C
950,Type-C
951,Type-C
952,Type-C
953,Type-C
955,Type-C
956,Type-C
985,Type-A
986,Type-A
987,Type-A
988,Type-A
989,Type-A
991,Type-A
992,Type-A
993,Type-A
994,Type-A
995,Type-A
996,Type-A
997,Type-A
999,Type-A
1001,Type-A
1002,Type-A
1003,Type-A
1018,Type-C
1019,Type-C
1020,Type-C
1021,Type-C
1022,Type-C
1023,Type-C
1025,Type-C
1026,Type-C
1027,Type-C
1028,Type-C
1029,Type-C
1055,Type-A
1057,Type-A
1058,Type-A
1061,Type-A
1063,Type-A
1064,Type-A
1065,Type-A
1066,Type-A
1068,Type-A
1069,Type-A
1070,Type-A
1073,Type-A
1075,Type-A
1076,Type-A
1089,Type-C
1090,Type-C
1091,Type-C
1092,Type-C
1093,Type-C
1094,Type-C
1095,Type-C
1096,Type-C
1097,Type-C
1098,Type-C
1099,Type-C
1100,Type-C
1101,Type-C
1103,Type-C
1125,Type-A
1126,Type-A
1127,Type-A
1128,Type-A
1129,Type-A
1130,Type-A
1131,Type-A
1132,Type-A
1133,Type-A
1134,Type-A
1136,Type-A
1137,Type-A
1138,Type-A
1139,Type-A
1140,Type-A
1141,Type-A
1142,Type-A
1143,Type-A
1144,Type-A
1145,Type-A
1161,Type-C
1162,Type-C
1163,Type-C
1164,Type-C
1165,Type-C
1166,Type-C
1167,Type-C
1168,Type-C
1169,Type-C
1170,Type-C
1171,Type-C
1172,Type-C
1173,Type-C
1175,Type-C
1196,Type-A
1197,Type-A
1198,Type-A
1199,Type-A
1200,Type-A
1201,Type-A
1202,Type-A
1203,Type-A
1204,Type-A
1205,Type-A
1206,Type-A
1207,Type-A
1208,Type-A
1209,Type-A
1210,Type-A
1211,Type-A
1212,Type-A
1213,Type-A
1214,Type-A
1215,Type-A
1216,Type-A
1234,Type-C
1235,Type-C
1236,Type-C
1237,Type-C
1238,Type-C
1239,Type-C
1240,Type-C
1241,Type-C
1242,Type-C
1243,Type-C
1244,Type-C
1245,Type-C
1246,Type-C
1247,Type-C
1248,Type-C
1249,Type-C
1268,Type-A
1269,Type-A
1270,Type-A
1271,Type-A
1272,Type-A
1273,Type-A
1274,Type-A
1275,Type-A
1276,Type-A
1277,Type-A
1279,Type-A
1280,Type-A
1281,Type-A
1282,Type-A
1283,Type-A
1284,Type-A
1285,Type-A
1286,Type-A
1287,Type-A
1288,Type-A
1289,Type-A
1305,Type-C
1306,Type-C
1307,Type-C
1308,Type-C
1309,Type-C
1312,Type-C
1313,Type-C
1314,Type-C
1315,Type-C
1316,Type-C
1319,Type-C
1320,Type-C
1321,Type-C
1322,Type-C
1328,Type-C
1339,Type-C
1340,Type-C
1341,Type-C
1342,Type-A
1344,Type-A
1345,Type-A
1346,Type-A
1348,Type-A
1349,Type-A
1350,Type-A
1351,Type-A
1352,Type-A
1353,Type-A
1354,Type-A
1355,Type-A
1356,Type-A
1357,Type-A
1358,Type-A
1359,Type-A
1360,Type-A
1361,Type-A
1377,Type-C
1379,Type-C
1380,Type-C
1381,Type-C
1382,Type-C
1383,Type-C
1384,Type-C
1385,Type-C
1386,Type-C
1393,Type-C
1400,Type-C
1401,Type-C
1410,Type-A
1412,Type-A
1413,Type-A
1414,Type-A
1415,Type-A
1416,Type-A
1417,Type-A
1418,Type-A
1419,Type-A
1420,Type-A
1421,Type-A
1422,Type-A
1423,Type-A
1424,Type-A
1425,Type-A
1426,Type-A
1427,Type-A
1428,Type-A
1429,Type-A
1430,Type-A
1447,Type-C
1448,Type-C
1449,Type-C
1450,Type-C
1452,Type-C
1453,Type-C
1454,Type-C
1455,Type-C
1456,Type-C
1462,Type-C
1465,Type-C
1466,Type-C
1468,Type-C
1471,Type-C
1476,Type-C
1477,Type-A
1479,Type-A
1480,Type-A
1481,Type-A
1482,Type-A
1483,Type-A
1484,Type-A
1485,Type-A
1486,Type-A
1487,Type-A
1488,Type-A
1489,Type-A
1490,Type-A
1491,Type-A
1492,Type-A
1493,Type-A
1494,Type-A
1495,Type-A
1496,Type-A
1497,Type-A
1498,Type-A
1499,Type-A
1500,Type-A
1502,Type-A
1518,Type-C
1520,Type-C
1521,Type-C
