species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year,candidate_rank
Passer montanus,5963,5,1088,2000,2024,1
Motacilla alba,5678,5,1057,2000,2024,2
Hirundo rustica,4514,5,963,2000,2024,3
Parus minor,4104,5,727,2000,2024,4
Pica serica,3717,5,747,2000,2024,5
Streptopelia orientalis,3593,5,836,2000,2024,6
Phoenicurus auroreus,3466,5,718,2000,2024,7
Spilopelia chinensis,3450,5,607,2000,2024,8
Falco tinnunculus,3402,5,919,2000,2024,9
Pycnonotus sinensis,3395,5,536,2000,2024,10
Egretta garzetta,3320,5,619,2000,2024,11
Tachybaptus ruficollis,3251,5,687,2000,2024,12
Upupa epops,3250,5,813,2000,2024,13
Ardea cinerea,3118,5,783,2000,2024,14
Alcedo atthis,2997,5,642,2000,2024,15
Lanius schach,2974,5,491,2000,2024,16
Anas platyrhynchos,2958,5,792,2000,2024,17
Phasianus colchicus,2918,5,723,2000,2024,18
Motacilla cinerea,2846,5,736,2000,2024,19
Chloris sinica,2811,5,643,2000,2024,20
Cecropis daurica,2793,5,642,2000,2024,21
Ardeola bacchus,2739,5,539,2000,2024,22
Anthus hodgsoni,2653,5,627,2000,2024,23
Ardea alba,2577,5,662,2000,2024,24
Gallinula chloropus,2568,5,609,2000,2024,25
Tadorna ferruginea,2555,5,720,2000,2024,26
Cuculus canorus,2488,5,755,2000,2024,27
Turdus mandarinus,2459,5,464,2000,2024,28
Phalacrocorax carbo,2411,5,677,2000,2024,29
Acridotheres cristatellus,2409,5,414,2000,2024,30
Corvus macrorhynchos,2403,5,638,2000,2024,31
Anas zonorhyncha,2371,5,589,2000,2024,32
Fulica atra,2357,5,676,2000,2024,33
Milvus migrans,2356,5,654,2000,2024,34
Phoenicurus fuliginosus,2356,5,472,2000,2024,35
Podiceps cristatus,2274,5,640,2000,2024,36
Copsychus saularis,2266,5,364,2000,2024,37
Actitis hypoleucos,2261,5,681,2000,2024,38
Zosterops simplex,2256,5,455,2000,2024,39
Sinosuthora webbiana,2255,5,456,2000,2024,40
Lanius cristatus,2224,5,644,2000,2024,41
Nycticorax nycticorax,2200,5,510,2000,2024,42
Dicrurus macrocercus,2178,5,481,2000,2024,43
Spodiopsar cineraceus,2151,5,568,2000,2024,44
Cyanopica cyanus,2143,5,475,2000,2024,45
Phylloscopus inornatus,2110,5,543,2000,2024,46
Phylloscopus proregulus,2092,5,570,2000,2024,47
Emberiza pusilla,2051,5,564,2000,2024,48
Corvus corone,2047,5,645,2000,2024,49
Chroicocephalus ridibundus,2034,5,582,2000,2024,50
Dendrocopos major,2027,5,537,2000,2024,51
Aegithalos concinnus,2023,5,378,2000,2024,52
Buteo japonicus,2013,5,641,2000,2024,53
Tringa ochropus,1977,5,621,2000,2024,54
Bubulcus coromandus,1974,5,474,2000,2024,55
Tarsiger cyanurus,1939,5,528,2000,2024,56
Spizixos semitorques,1900,5,338,2000,2024,57
Columba livia,1896,5,542,2000,2024,58
Accipiter nisus,1881,5,622,2000,2024,59
Anas carolinensis,1827,5,563,2000,2024,60
Charadrius dubius,1811,5,581,2000,2024,61
Himantopus himantopus,1807,5,561,2000,2024,62
Prinia inornata,1798,5,370,2000,2024,63
Emberiza spodocephala,1794,5,523,2000,2024,64
Picus canus,1781,5,516,2000,2024,65
Phylloscopus fuscatus,1767,5,509,2000,2024,66
Buteo hemilasius,1690,5,554,2000,2024,67
Spodiopsar sericeus,1673,5,358,2002,2024,68
Garrulus glandarius,1662,5,438,2000,2024,69
Sterna hirundo,1660,5,536,2000,2024,70
Columba rupestris,1647,5,499,2000,2024,71
Pomatorhinus ruficollis,1628,5,329,2000,2024,72
Mergus merganser,1607,5,520,2000,2024,73
Fringilla montifringilla,1599,5,517,2000,2024,74
Passer cinnamomeus,1598,5,434,2000,2024,75
Myophonus caeruleus,1596,5,373,2000,2024,76
Pyrrhocorax pyrrhocorax,1595,5,424,2000,2024,77
Saxicola stejnegeri,1582,5,464,2000,2024,78
Horornis fortipes,1581,5,347,2001,2024,79
Pardaliparus venustulus,1579,5,377,2000,2024,80
Streptopelia decaocto,1576,5,502,2000,2024,81
Pycnonotus xanthorrhous,1565,5,323,2000,2024,82
Eophona migratoria,1558,5,376,2000,2024,83
Emberiza elegans,1529,5,401,2000,2024,84
Mareca strepera,1506,5,510,2000,2024,85
Pterorhinus sannio,1505,5,303,2000,2024,86
Lonchura striata,1503,5,321,2000,2024,87
Tringa nebularia,1467,5,430,2000,2024,88
Motacilla tschutschensis,1460,5,517,2000,2024,89
Hypsipetes leucocephalus,1428,5,300,2000,2024,90
Urocissa erythroryncha,1411,5,398,2002,2024,91
Delichon dasypus,1397,5,391,2000,2024,92
Carpodacus erythrinus,1394,5,444,2000,2024,93
Tringa totanus,1392,5,443,2000,2024,94
Motacilla citreola,1386,5,509,2000,2024,95
Falco peregrinus,1359,5,457,2000,2024,96
Aythya ferina,1354,5,449,2000,2024,97
Vanellus cinereus,1354,5,431,2000,2024,98
Vanellus vanellus,1352,5,463,2000,2024,99
Tringa glareola,1345,5,467,2000,2024,100
Falco subbuteo,1326,5,493,2000,2024,101
Ixos mcclellandii,1326,5,296,2000,2024,102
Gallinago gallinago,1324,5,438,2000,2024,103
Lonchura punctulata,1314,5,294,2001,2024,104
Apus pacificus,1304,5,432,2000,2024,105
Apus nipalensis,1299,5,327,2000,2024,106
Eudynamys scolopaceus,1294,5,374,2000,2024,107
Chlidonias hybrida,1273,5,449,2000,2024,108
Oriolus chinensis,1251,5,401,2000,2024,109
Periparus ater,1247,5,357,2000,2024,110
Amaurornis phoenicurus,1236,5,337,2000,2024,111
Charadrius alexandrinus,1234,5,362,2000,2024,112
Apus apus,1233,5,400,2000,2024,113
Falco amurensis,1232,5,424,2000,2024,114
Spatula clypeata,1212,5,440,2000,2024,115
Aegithalos glaucogularis,1196,5,323,2000,2024,116
Abroscopus albogularis,1192,5,280,2001,2024,117
Cuculus micropterus,1191,5,418,2000,2024,118
Turdus eunomus,1184,5,363,2000,2024,119
Lanius tephronotus,1177,5,275,2000,2024,120
Emberiza cioides,1173,5,403,2000,2024,121
Phoenicurus ochruros,1167,5,327,2000,2024,122
Circus cyaneus,1164,5,462,2000,2024,123
Aythya fuligula,1155,5,413,2000,2024,124
Accipiter trivirgatus,1152,5,312,2000,2024,125
Mareca penelope,1145,5,396,2000,2024,126
Pernis ptilorhynchus,1145,5,404,2000,2024,127
Anthus richardi,1144,5,405,2000,2024,128
Leiothrix lutea,1143,5,260,2000,2024,129
Ficedula albicilla,1138,5,409,2000,2024,130
Anthus spinoletta,1134,5,434,2001,2024,131
Emberiza godlewskii,1134,5,304,2000,2024,132
Alauda gulgula,1129,5,335,2000,2024,133
Aythya nyroca,1128,5,396,2000,2024,134
Gyps himalayensis,1126,5,274,2000,2024,135
Anas acuta,1112,5,412,2000,2024,136
Ixobrychus sinensis,1112,5,343,2000,2024,137
Parus monticolus,1107,5,216,2000,2024,138
Alauda arvensis,1104,5,401,2000,2024,139
Dicrurus hottentottus,1102,5,305,2000,2024,140
Acrocephalus orientalis,1098,5,381,2000,2024,141
Enicurus leschenaulti,1089,5,274,2000,2024,142
Bambusicola thoracicus,1067,5,231,2001,2024,143
Elanus caeruleus,1063,5,284,2000,2024,144
Picumnus innominatus,1056,5,283,2001,2024,145
Recurvirostra avosetta,1054,5,350,2000,2024,146
Eremophila alpestris,1053,5,329,2000,2024,147
Turdus naumanni,1053,5,361,2001,2024,148
Monticola solitarius,1047,5,324,2000,2024,149
Hemixos castanonotus,1044,5,214,2000,2024,150
Anser anser,1040,5,368,2000,2024,151
Dicrurus leucophaeus,1039,5,288,2000,2024,152
Saxicola maurus,1036,5,384,2000,2024,153
Pycnonotus jocosus,1020,5,194,2000,2024,154
Mareca falcata,1016,5,359,2001,2024,155
Aix galericulata,1015,5,360,2000,2024,156
Tringa erythropus,1009,5,330,2000,2024,157
Stachyridopsis ruficeps,995,5,233,2000,2023,158
Riparia riparia,989,5,427,2000,2024,159
Phoenicurus frontalis,986,5,243,2000,2024,160
Tadorna tadorna,982,5,343,2000,2024,161
Corvus corax,973,5,336,2000,2024,162
Culicicapa ceylonensis,970,5,256,2000,2024,163
Yungipicus canicapillus,965,5,278,2000,2023,164
Muscicapa sibirica,962,5,340,2000,2024,165
Cinclus pallasii,951,5,263,2000,2024,166
Platalea leucorodia,949,5,338,2000,2024,167
Dendrocitta formosae,946,5,227,2000,2024,168
Chaimarrornis leucocephalus,940,5,237,2000,2023,169
Butorides striata,938,5,316,2000,2024,170
Trochalopteron elliotii,937,5,185,2000,2024,171
Turdus hortulorum,931,5,283,2002,2024,172
Troglodytes troglodytes,928,5,298,2000,2024,173
Cisticola juncidis,919,5,274,2000,2024,174
Gracupica nigricollis,919,5,200,2000,2024,175
Pycnonotus aurigaster,913,5,186,2001,2024,176
Phylloscopus humei,905,5,273,2000,2024,177
Circus spilonotus,899,5,326,2000,2024,178
Pericrocotus solaris,897,5,234,2000,2024,179
Cuculus sparverioides,889,5,259,2000,2023,180
Aquila chrysaetos,887,5,321,2000,2024,181
Ptyonoprogne rupestris,881,5,299,2000,2024,182
Anthus rubescens,873,5,300,2001,2024,183
Picoides canicapillus,871,4,345,2006,2024,184
Lanius sphenocercus,869,5,324,2001,2024,185
Psilopogon virens,868,5,233,2000,2024,186
Ceryle rudis,861,5,224,2000,2024,187
Halcyon smyrnensis,860,5,207,2000,2024,188
Regulus regulus,855,5,262,2000,2024,189
Sitta europaea,851,5,275,2000,2024,190
