year,source_short,n_records,n_visits,n_observers,n_birding_days,n_grids_100km,n_species,mean_duration_min,total_duration_min
2000,China_Birdwatch,2,1,1,1,1,2,12305760,24611520
2002,China_Birdwatch,114,5,1,5,3,80,626.1052631578948,71376
2003,China_Birdwatch,127,11,1,11,5,72,225.5511811023622,28645
2004,China_Birdwatch,97,7,2,7,4,73,157.38144329896906,15266
2005,China_Birdwatch,228,11,2,11,7,185,1324.0789473684208,301890
2006,China_Birdwatch,256,14,5,14,9,151,2012.32421875,515155
2007,China_Birdwatch,845,41,6,39,18,322,305338.4497041424,258010990
2008,China_Birdwatch,750,32,12,31,17,265,758.8599999999997,569145
2009,China_Birdwatch,589,29,9,26,18,255,2127.6129032258073,1253164
2010,China_Birdwatch,902,73,14,65,32,253,14522.342572062093,13099153
2011,China_Birdwatch,1835,120,17,100,44,377,170538.9422343323,312938959
2012,China_Birdwatch,1333,117,25,97,58,451,76271.04426106522,101669302
2013,China_Birdwatch,1621,122,27,100,60,460,270093.3448488591,437821312
2014,China_Birdwatch,2697,194,36,132,76,536,38641.52243233213,104216186
2015,China_Birdwatch,9701,563,67,258,166,773,80647.71405009722,782363474
2016,China_Birdwatch,8217,499,79,247,165,780,22638.989898989865,186024580
2017,China_Birdwatch,10113,631,102,275,176,844,55977.80549787311,566103547
2018,China_Birdwatch,15739,997,139,334,214,924,55381.29264883324,871646165
2019,China_Birdwatch,25242,1518,182,353,290,1034,37448.78222803251,945282161
2020,China_Birdwatch,46068,2721,288,361,342,948,17710.050338627923,815866599
2021,China_Birdwatch,145875,8510,583,365,528,1129,8500.025768637413,1239941259
2022,China_Birdwatch,313778,17436,988,365,602,1130,5335.045070081058,1674019772
2023,China_Birdwatch,836484,45145,2413,365,920,1258,2201.3746120669234,1841414641
2024,China_Birdwatch,2720464,146369,9086,365,1120,1336,597.9226165098318,1626626953
2000,eBird_GBIF,2169,155,33,121,64,559,NA,0
2001,eBird_GBIF,2286,138,26,116,63,595,NA,0
2002,eBird_GBIF,11898,655,76,199,124,769,NA,0
2003,eBird_GBIF,3005,218,38,158,69,566,NA,0
2004,eBird_GBIF,10128,494,78,229,123,679,NA,0
2005,eBird_GBIF,8581,562,69,267,118,776,NA,0
2006,eBird_GBIF,7609,637,103,288,135,736,NA,0
2007,eBird_GBIF,16780,996,135,309,203,889,NA,0
2008,eBird_GBIF,12869,814,130,306,142,841,NA,0
2009,eBird_GBIF,11493,848,166,309,150,802,NA,0
2010,eBird_GBIF,26825,1400,183,342,200,860,NA,0
2011,eBird_GBIF,21425,1149,183,312,214,900,NA,0
2012,eBird_GBIF,26600,1669,249,346,271,944,NA,0
2013,eBird_GBIF,41356,2227,274,364,279,1039,NA,0
2014,eBird_GBIF,55948,2743,347,364,339,1076,NA,0
2015,eBird_GBIF,64175,3183,399,365,391,1057,NA,0
2016,eBird_GBIF,86391,4274,541,366,382,1086,NA,0
2017,eBird_GBIF,116972,6186,723,365,447,1123,NA,0
2018,eBird_GBIF,216196,9559,873,365,538,1175,NA,0
2019,eBird_GBIF,268851,11942,1028,365,614,1179,NA,0
2020,eBird_GBIF,212474,10204,625,366,475,1136,NA,0
2021,eBird_GBIF,294628,14590,738,365,574,1204,NA,0
2022,eBird_GBIF,323218,15528,749,365,513,1147,NA,0
2023,eBird_GBIF,539592,24477,1385,365,742,1211,NA,0
2000,Combined,2171,156,34,121,64,559,12305760,24611520
2001,Combined,2286,138,26,116,63,595,NA,0
2002,Combined,12012,660,77,202,126,776,626.1052631578948,71376
2003,Combined,3132,229,39,167,71,579,225.5511811023622,28645
2004,Combined,10225,501,80,234,125,685,157.38144329896906,15266
2005,Combined,8809,573,71,267,121,801,1324.0789473684208,301890
2006,Combined,7865,651,108,289,138,758,2012.32421875,515155
2007,Combined,17625,1037,141,314,210,929,305338.4497041424,258010990
2008,Combined,13619,846,142,309,148,873,758.8599999999997,569145
2009,Combined,12082,877,175,310,153,837,2127.6129032258073,1253164
2010,Combined,27727,1473,197,343,210,887,14522.342572062093,13099153
2011,Combined,23260,1269,200,319,232,948,170538.9422343323,312938959
2012,Combined,27933,1786,274,349,292,1007,76271.04426106522,101669302
2013,Combined,42977,2349,301,364,307,1085,270093.3448488591,437821312
2014,Combined,58645,2937,383,365,361,1135,38641.52243233213,104216186
2015,Combined,73876,3746,466,365,437,1166,80647.71405009722,782363474
2016,Combined,94608,4773,620,366,441,1216,22638.989898989865,186024580
2017,Combined,127085,6817,825,365,490,1261,55977.80549787311,566103547
2018,Combined,231935,10556,1012,365,581,1321,55381.29264883324,871646165
2019,Combined,294093,13460,1210,365,671,1342,37448.78222803251,945282161
2020,Combined,258542,12925,913,366,565,1259,17710.050338627923,815866599
2021,Combined,440503,23100,1321,365,712,1357,8500.025768637413,1239941259
2022,Combined,636996,32964,1737,365,735,1321,5335.045070081058,1674019772
2023,Combined,1376076,69622,3798,365,1038,1441,2201.3746120669234,1841414641
2024,Combined,2720464,146369,9086,365,1120,1336,597.9226165098318,1626626953
