year,source_short,metric,value
2000,China_Birdwatch,n_records,2
2000,China_Birdwatch,n_visits,1
2000,China_Birdwatch,n_observers,1
2000,China_Birdwatch,n_birding_days,1
2000,China_Birdwatch,n_grids_100km,1
2000,China_Birdwatch,n_species,2
2000,China_Birdwatch,mean_duration_min,12305760
2000,China_Birdwatch,total_duration_min,24611520
2002,China_Birdwatch,n_records,114
2002,China_Birdwatch,n_visits,5
2002,China_Birdwatch,n_observers,1
2002,China_Birdwatch,n_birding_days,5
2002,China_Birdwatch,n_grids_100km,3
2002,China_Birdwatch,n_species,80
2002,China_Birdwatch,mean_duration_min,626.1052631578948
2002,China_Birdwatch,total_duration_min,71376
2003,China_Birdwatch,n_records,127
2003,China_Birdwatch,n_visits,11
2003,China_Birdwatch,n_observers,1
2003,China_Birdwatch,n_birding_days,11
2003,China_Birdwatch,n_grids_100km,5
2003,China_Birdwatch,n_species,72
2003,China_Birdwatch,mean_duration_min,225.5511811023622
2003,China_Birdwatch,total_duration_min,28645
2004,China_Birdwatch,n_records,97
2004,China_Birdwatch,n_visits,7
2004,China_Birdwatch,n_observers,2
2004,China_Birdwatch,n_birding_days,7
2004,China_Birdwatch,n_grids_100km,4
2004,China_Birdwatch,n_species,73
2004,China_Birdwatch,mean_duration_min,157.38144329896906
2004,China_Birdwatch,total_duration_min,15266
2005,China_Birdwatch,n_records,228
2005,China_Birdwatch,n_visits,11
2005,China_Birdwatch,n_observers,2
2005,China_Birdwatch,n_birding_days,11
2005,China_Birdwatch,n_grids_100km,7
2005,China_Birdwatch,n_species,185
2005,China_Birdwatch,mean_duration_min,1324.0789473684208
2005,China_Birdwatch,total_duration_min,301890
2006,China_Birdwatch,n_records,256
2006,China_Birdwatch,n_visits,14
2006,China_Birdwatch,n_observers,5
2006,China_Birdwatch,n_birding_days,14
2006,China_Birdwatch,n_grids_100km,9
2006,China_Birdwatch,n_species,151
2006,China_Birdwatch,mean_duration_min,2012.32421875
2006,China_Birdwatch,total_duration_min,515155
2007,China_Birdwatch,n_records,845
2007,China_Birdwatch,n_visits,41
2007,China_Birdwatch,n_observers,6
2007,China_Birdwatch,n_birding_days,39
2007,China_Birdwatch,n_grids_100km,18
2007,China_Birdwatch,n_species,322
2007,China_Birdwatch,mean_duration_min,305338.4497041424
2007,China_Birdwatch,total_duration_min,258010990
2008,China_Birdwatch,n_records,750
2008,China_Birdwatch,n_visits,32
2008,China_Birdwatch,n_observers,12
2008,China_Birdwatch,n_birding_days,31
2008,China_Birdwatch,n_grids_100km,17
2008,China_Birdwatch,n_species,265
2008,China_Birdwatch,mean_duration_min,758.8599999999997
2008,China_Birdwatch,total_duration_min,569145
2009,China_Birdwatch,n_records,589
2009,China_Birdwatch,n_visits,29
2009,China_Birdwatch,n_observers,9
2009,China_Birdwatch,n_birding_days,26
2009,China_Birdwatch,n_grids_100km,18
2009,China_Birdwatch,n_species,255
2009,China_Birdwatch,mean_duration_min,2127.6129032258073
2009,China_Birdwatch,total_duration_min,1253164
2010,China_Birdwatch,n_records,902
2010,China_Birdwatch,n_visits,73
2010,China_Birdwatch,n_observers,14
2010,China_Birdwatch,n_birding_days,65
2010,China_Birdwatch,n_grids_100km,32
2010,China_Birdwatch,n_species,253
2010,China_Birdwatch,mean_duration_min,14522.342572062093
2010,China_Birdwatch,total_duration_min,13099153
2011,China_Birdwatch,n_records,1835
2011,China_Birdwatch,n_visits,120
2011,China_Birdwatch,n_observers,17
2011,China_Birdwatch,n_birding_days,100
2011,China_Birdwatch,n_grids_100km,44
2011,China_Birdwatch,n_species,377
2011,China_Birdwatch,mean_duration_min,170538.9422343323
2011,China_Birdwatch,total_duration_min,312938959
2012,China_Birdwatch,n_records,1333
2012,China_Birdwatch,n_visits,117
2012,China_Birdwatch,n_observers,25
2012,China_Birdwatch,n_birding_days,97
2012,China_Birdwatch,n_grids_100km,58
2012,China_Birdwatch,n_species,451
2012,China_Birdwatch,mean_duration_min,76271.04426106522
2012,China_Birdwatch,total_duration_min,101669302
2013,China_Birdwatch,n_records,1621
2013,China_Birdwatch,n_visits,122
2013,China_Birdwatch,n_observers,27
2013,China_Birdwatch,n_birding_days,100
2013,China_Birdwatch,n_grids_100km,60
2013,China_Birdwatch,n_species,460
2013,China_Birdwatch,mean_duration_min,270093.3448488591
2013,China_Birdwatch,total_duration_min,437821312
2014,China_Birdwatch,n_records,2697
2014,China_Birdwatch,n_visits,194
2014,China_Birdwatch,n_observers,36
2014,China_Birdwatch,n_birding_days,132
2014,China_Birdwatch,n_grids_100km,76
