grid_cell,year,source_short,n_events,n_observers,n_dates,mean_duration_min
56,2023,eBird_GBIF,1,1,1,NA
56,2023,Combined,1,1,1,NA
56,2024,China_Birdwatch,1,1,1,60
56,2024,Combined,1,1,1,60
57,2023,China_Birdwatch,2,2,2,60
57,2023,eBird_GBIF,1,1,1,NA
57,2023,Combined,3,3,2,60
57,2024,China_Birdwatch,1,1,1,240
57,2024,Combined,1,1,1,240
128,2013,eBird_GBIF,1,1,1,NA
128,2013,Combined,1,1,1,NA
128,2015,eBird_GBIF,1,1,1,NA
128,2015,Combined,1,1,1,NA
128,2017,eBird_GBIF,1,1,1,NA
128,2017,Combined,1,1,1,NA
128,2023,China_Birdwatch,2,2,2,53.888888888888886
128,2023,eBird_GBIF,3,2,3,NA
128,2023,Combined,5,4,4,53.888888888888886
128,2024,China_Birdwatch,5,5,5,110
128,2024,Combined,5,5,5,110
129,2024,China_Birdwatch,2,2,2,60
129,2024,Combined,2,2,2,60
130,2024,China_Birdwatch,1,1,1,60
130,2024,Combined,1,1,1,60
198,2023,eBird_GBIF,1,1,1,NA
198,2023,Combined,1,1,1,NA
199,2015,eBird_GBIF,8,2,4,NA
199,2015,Combined,8,2,4,NA
199,2023,eBird_GBIF,3,1,3,NA
199,2023,Combined,3,1,3,NA
199,2024,China_Birdwatch,5,4,5,56.666666666666664
199,2024,Combined,5,4,5,56.666666666666664
203,2024,China_Birdwatch,2,2,2,3326.297872340426
203,2024,Combined,2,2,2,3326.297872340426
270,2013,China_Birdwatch,1,1,1,2820
270,2013,Combined,1,1,1,2820
270,2015,eBird_GBIF,1,1,1,NA
270,2015,Combined,1,1,1,NA
270,2018,China_Birdwatch,1,1,1,660
270,2018,Combined,1,1,1,660
270,2019,China_Birdwatch,1,1,1,600
270,2019,Combined,1,1,1,600
270,2023,China_Birdwatch,6,6,4,287.97872340425533
270,2023,eBird_GBIF,1,1,1,NA
270,2023,Combined,7,7,4,287.97872340425533
270,2024,China_Birdwatch,5,5,5,5764.2
270,2024,Combined,5,5,5,5764.2
271,2013,eBird_GBIF,1,1,1,NA
271,2013,Combined,1,1,1,NA
271,2015,eBird_GBIF,2,2,1,NA
271,2015,Combined,2,2,1,NA
271,2023,China_Birdwatch,2,2,1,1385.5272727272727
271,2023,eBird_GBIF,2,1,2,NA
271,2023,Combined,4,3,3,1385.5272727272727
271,2024,China_Birdwatch,4,4,4,788.2592592592592
271,2024,Combined,4,4,4,788.2592592592592
272,2012,eBird_GBIF,1,1,1,NA
272,2012,Combined,1,1,1,NA
272,2015,eBird_GBIF,1,1,1,NA
272,2015,Combined,1,1,1,NA
272,2024,China_Birdwatch,2,2,2,333.75
272,2024,Combined,2,2,2,333.75
274,2023,China_Birdwatch,1,1,1,5
274,2023,eBird_GBIF,1,1,1,NA
274,2023,Combined,2,2,1,5
276,2024,China_Birdwatch,1,1,1,60
276,2024,Combined,1,1,1,60
