metric_label,hfi_q,median,l95,u95,n
Faith's PD trend,Q1 (low HFI),52.148433463186024,29.927365593478772,67.49344073425458,127
Faith's PD trend,Q2,41.90217337321995,19.932061737345347,63.359833943008425,127
Faith's PD trend,Q3,53.972876667954964,24.403548360101674,74.34694677261218,126
Faith's PD trend,Q4 (high HFI),51.45924982248109,29.702671762442648,77.4793680478288,127
Faith's PD trend,NA,103.9546583976009,58.4287085125108,142.8164058748164,801
Richness trend,Q1 (low HFI),3.1766533295595605,2.423730281040863,4.183289653928945,127
Richness trend,Q2,2.80269581361843,1.8122237912587376,4.200616271991142,127
Richness trend,Q3,3.5281577537999858,2.128944340304911,4.716027927472826,126
Richness trend,Q4 (high HFI),3.4016749840967284,2.2978371941536486,5.274638760070734,127
Richness trend,NA,6.7546859406803215,2.6244548143982893,9.221907317502476,801
Shannon trend,Q1 (low HFI),0.02034094593763736,0.01305333955231323,0.03877440562472481,127
Shannon trend,Q2,0.01689471775522395,0.012612209304322941,0.03629807462497126,127
Shannon trend,Q3,0.025081986886652287,0.014731410438503137,0.037853321520168355,126
Shannon trend,Q4 (high HFI),0.02233062892275111,0.0157376472675725,0.040999798809011334,127
Shannon trend,NA,0.03570794059608606,0.02022846279603094,0.06219564026801651,801
Trait-volume trend,Q1 (low HFI),-0.00237297779159761,-0.015148028445375748,0.0022210412988933424,127
Trait-volume trend,Q2,-0.00205855951585723,-0.012836983464914919,0.0015566380095519549,127
Trait-volume trend,Q3,-0.004842104827048575,-0.017382406779855787,0.002841608693245809,126
Trait-volume trend,Q4 (high HFI),-0.00437568809159597,-0.020367860700172342,2.0679261081534616e-4,127
Trait-volume trend,NA,0.00201280407522732,-0.02430603164597344,0.00653178787247426,801
