year,n_grids_visited,n_events_total,n_observers,n_unique_dates
2000,64,162,103,155
2001,63,151,97,147
2002,126,738,380,537
2003,71,239,125,220
2004,125,559,298,502
2005,121,604,226,571
2006,138,690,302,652
2007,210,1111,572,917
2008,148,916,435,767
2009,153,916,464,800
2010,210,1559,669,1236
2011,232,1393,660,1193
2012,292,1904,908,1654
2013,307,2537,1166,2078
2014,361,3194,1489,2548
2015,437,4022,1789,3176
2016,441,5164,2353,3747
2017,490,7397,3096,4942
2018,581,11898,4434,7018
2019,671,14630,5353,8505
2020,565,13824,3978,7624
2021,712,24624,6664,12496
2022,735,35024,7275,15490
2023,1038,74352,21703,28980
2024,1120,153596,44387,47775
