grid_cell,period_pair,metric,value_mean,value_l95,value_u95
56,2005-2009 vs 2000-2004,bray,0.02616580361973892,0.020380934597952174,0.03221430397896889
57,2005-2009 vs 2000-2004,bray,0.026512686820163504,0.020710379809445453,0.0323047520811279
128,2005-2009 vs 2000-2004,bray,0.032890593667195135,0.02622618150962353,0.03966174917208089
129,2005-2009 vs 2000-2004,bray,0.025957111251245925,0.01965090621021618,0.03271682619734222
130,2005-2009 vs 2000-2004,bray,0.026095060032500648,0.018626455789101628,0.033926112717683046
198,2005-2009 vs 2000-2004,bray,0.020924339789371867,0.016267698671177083,0.026847518752605836
199,2005-2009 vs 2000-2004,bray,0.019315417767157058,0.014734857473475964,0.024819036168331844
203,2005-2009 vs 2000-2004,bray,0.024893248792651812,0.02011995335859701,0.03061749934449105
270,2005-2009 vs 2000-2004,bray,0.02116219778599857,0.01664940560170727,0.027184844795267477
271,2005-2009 vs 2000-2004,bray,0.021409269646113047,0.01663116366604718,0.027558175188679472
272,2005-2009 vs 2000-2004,bray,0.020998776999995836,0.016071189298252218,0.026733862203677385
274,2005-2009 vs 2000-2004,bray,0.019481157671249128,0.014751301641028678,0.02479444686857106
276,2005-2009 vs 2000-2004,bray,0.021782548332469443,0.017228346433926012,0.027869058014951313
341,2005-2009 vs 2000-2004,bray,0.03195087485513888,0.023531978627175612,0.040589407955909484
342,2005-2009 vs 2000-2004,bray,0.02552132222552379,0.02015070370924226,0.031904362636007995
343,2005-2009 vs 2000-2004,bray,0.024587693893749967,0.018574358631691424,0.03029389340371346
344,2005-2009 vs 2000-2004,bray,0.02763423027386303,0.021096029416234192,0.033748143335710204
345,2005-2009 vs 2000-2004,bray,0.02663769911848463,0.021981982183778496,0.031605278668324875
347,2005-2009 vs 2000-2004,bray,0.028316027162697495,0.022024043685188798,0.03384051706405031
412,2005-2009 vs 2000-2004,bray,0.0337516179538005,0.02704283370363777,0.04089609710374804
413,2005-2009 vs 2000-2004,bray,0.03226750548555627,0.02556623993668729,0.038936351046502164
414,2005-2009 vs 2000-2004,bray,0.03139973066391184,0.024970278595955825,0.038087385824749354
415,2005-2009 vs 2000-2004,bray,0.03149013588499799,0.024793277060613315,0.038051469338789994
416,2005-2009 vs 2000-2004,bray,0.031473361008087626,0.02404748054558007,0.03825878950398605
417,2005-2009 vs 2000-2004,bray,0.022713222620166628,0.01730524977784168,0.02922835016422726
418,2005-2009 vs 2000-2004,bray,0.0216983215143935,0.016953741163206724,0.027067624983095322
483,2005-2009 vs 2000-2004,bray,0.03650046054296051,0.03075306727738073,0.042473774449122745
484,2005-2009 vs 2000-2004,bray,0.029825437956782132,0.025651023527299845,0.03555498944965565
485,2005-2009 vs 2000-2004,bray,0.02924357812019432,0.024866703652822928,0.034918184562936126
486,2005-2009 vs 2000-2004,bray,0.03343080886508835,0.028521215238853287,0.04007382936128309
487,2005-2009 vs 2000-2004,bray,0.029087802129962204,0.02462260195424745,0.03533940393985352
488,2005-2009 vs 2000-2004,bray,0.029704919583431112,0.02542144909318791,0.035290996839113055
554,2005-2009 vs 2000-2004,bray,0.037347358104605155,0.03175223804214068,0.04332160041890268
555,2005-2009 vs 2000-2004,bray,0.039189271999719714,0.032560970901937464,0.045607338854143364
556,2005-2009 vs 2000-2004,bray,0.03793279394029621,0.0316040501260808,0.043913676658959476
557,2005-2009 vs 2000-2004,bray,0.03475457843703597,0.029603295528020816,0.04008927635888246
558,2005-2009 vs 2000-2004,bray,0.03687306535071298,0.030378885984973052,0.0421613202798739
559,2005-2009 vs 2000-2004,bray,0.03836008778895849,0.03168997424783666,0.04419218252037748
560,2005-2009 vs 2000-2004,bray,0.03734767953175977,0.030091488484110335,0.04369356266251573
561,2005-2009 vs 2000-2004,bray,0.02699771640174647,0.02254007465021092,0.032401901201634116
563,2005-2009 vs 2000-2004,bray,0.023515592749084293,0.01914699997736494,0.028805624113659112
564,2005-2009 vs 2000-2004,bray,0.02405687122915476,0.019431785265344354,0.030268169212082585
592,2005-2009 vs 2000-2004,bray,0.03333874581838329,0.026729632931761192,0.04084185532910254
593,2005-2009 vs 2000-2004,bray,0.03851304501940357,0.03218003871922359,0.04455924614234027
625,2005-2009 vs 2000-2004,bray,0.031250640833109536,0.02529837743436908,0.03732514922330605
626,2005-2009 vs 2000-2004,bray,0.030940510661269155,0.02566576637644579,0.03753809458157859
627,2005-2009 vs 2000-2004,bray,0.029436835648486964,0.024703217675708787,0.03608159566885352
628,2005-2009 vs 2000-2004,bray,0.030769983449791517,0.02553370123030145,0.03757454036561474
629,2005-2009 vs 2000-2004,bray,0.029309425271450727,0.024061771003557428,0.03627614009349402
630,2005-2009 vs 2000-2004,bray,0.032221224584634695,0.025758498121793778,0.039001547607679016
631,2005-2009 vs 2000-2004,bray,0.030892435724502024,0.024177965609294874,0.03733606810393593
632,2005-2009 vs 2000-2004,bray,0.03089555289794934,0.02416153666470464,0.03750650413804103
634,2005-2009 vs 2000-2004,bray,0.028826840097072214,0.02291826976917611,0.034937983074454
635,2005-2009 vs 2000-2004,bray,0.028083279800403597,0.022313154143507766,0.03445479880159612
636,2005-2009 vs 2000-2004,bray,0.028628880274054566,0.023040723835772305,0.034653919459646104
637,2005-2009 vs 2000-2004,bray,0.030869988944353142,0.024414879376539148,0.037458375381584745
640,2005-2009 vs 2000-2004,bray,0.027050263199953843,0.02118659389779194,0.03312089227036534
663,2005-2009 vs 2000-2004,bray,0.033762105398857746,0.027083720705280343,0.039377910280572026
664,2005-2009 vs 2000-2004,bray,0.03745630925532118,0.03071119737006915,0.04357106458821144
665,2005-2009 vs 2000-2004,bray,0.03906585411911185,0.03146453331216515,0.04475591031657446
666,2005-2009 vs 2000-2004,bray,0.03916078204755357,0.03280054102840097,0.04591963939767485
696,2005-2009 vs 2000-2004,bray,0.04378101786469617,0.037286506037126965,0.05166436763722662
698,2005-2009 vs 2000-2004,bray,0.03922181610939718,0.03266077146020476,0.04558068868872405
699,2005-2009 vs 2000-2004,bray,0.03918141710278128,0.03200310084037061,0.04603563193660967
700,2005-2009 vs 2000-2004,bray,0.04579064851995008,0.035667208103375606,0.05561553343616735
701,2005-2009 vs 2000-2004,bray,0.03710296629549914,0.029523771395249254,0.04410877406810206
702,2005-2009 vs 2000-2004,bray,0.029511011497516622,0.02376278357577663,0.03631673971893989
704,2005-2009 vs 2000-2004,bray,0.027630873000635228,0.02257686740842863,0.03372408804553548
705,2005-2009 vs 2000-2004,bray,0.028810072623707324,0.021991437559515888,0.03552542803006803
706,2005-2009 vs 2000-2004,bray,0.03582560937362064,0.02964518803732639,0.04164330245434189
708,2005-2009 vs 2000-2004,bray,0.02918074564596129,0.025086213461337794,0.03440468609028174
710,2005-2009 vs 2000-2004,bray,0.027463316760065436,0.02338872614855248,0.03233429455279243
711,2005-2009 vs 2000-2004,bray,0.028656272471750913,0.024144664082308975,0.033582250008693235
712,2005-2009 vs 2000-2004,bray,0.02544152332655456,0.021498644947645567,0.030225841967248545
716,2005-2009 vs 2000-2004,bray,0.025728611028314145,0.021302006457757226,0.031014339077569963
717,2005-2009 vs 2000-2004,bray,0.02338869850009201,0.018894662514598332,0.02847723961531852
735,2005-2009 vs 2000-2004,bray,0.03893312006976883,0.03239195519332358,0.045530492013791286
736,2005-2009 vs 2000-2004,bray,0.04000926794688065,0.034123533559999315,0.04593010835726786
737,2005-2009 vs 2000-2004,bray,0.04082975954732171,0.03421195113594544,0.04851998030192388
738,2005-2009 vs 2000-2004,bray,0.03551869247165707,0.029361036781881258,0.042457887322323584
772,2005-2009 vs 2000-2004,bray,0.027389604793003022,0.022870047783063122,0.03299481080211486
773,2005-2009 vs 2000-2004,bray,0.029044075844200143,0.02464394121620951,0.03417163448180498
774,2005-2009 vs 2000-2004,bray,0.03857300468559256,0.030807884138834493,0.04578170332272747
775,2005-2009 vs 2000-2004,bray,0.030775656113577198,0.026074105998989416,0.03584528047735105
776,2005-2009 vs 2000-2004,bray,0.03170932475031973,0.026566056743104794,0.03685923487926924
777,2005-2009 vs 2000-2004,bray,0.035965455191308525,0.030113918507482393,0.04147305323137655
778,2005-2009 vs 2000-2004,bray,0.03041325656568811,0.025785694689333536,0.03548541656915917
783,2005-2009 vs 2000-2004,bray,0.019994878676329864,0.015710608726976175,0.024665307010879906
784,2005-2009 vs 2000-2004,bray,0.018858672696964885,0.014586430326965046,0.02352426512043612
785,2005-2009 vs 2000-2004,bray,0.019279292684965085,0.015351497565451308,0.02426039188926874
787,2005-2009 vs 2000-2004,bray,0.021763635093676882,0.01806664412949344,0.02622026945406174
788,2005-2009 vs 2000-2004,bray,0.020858477293831303,0.01690182495429347,0.025573202141144467
804,2005-2009 vs 2000-2004,bray,0.032375849679508475,0.026037828916316227,0.03902632185486356
805,2005-2009 vs 2000-2004,bray,0.03866814403165014,0.029942856073604,0.0493549497197742
806,2005-2009 vs 2000-2004,bray,0.036445526828234084,0.027842050472417754,0.047241434309033145
807,2005-2009 vs 2000-2004,bray,0.03919439104625207,0.03061502908069702,0.04930348970954012
808,2005-2009 vs 2000-2004,bray,0.03771295012191796,0.03027561031759403,0.04777751869848642
809,2005-2009 vs 2000-2004,bray,0.0427622266363238,0.03452559355327386,0.05297836189250422
810,2005-2009 vs 2000-2004,bray,0.03824276457355305,0.031115717370440325,0.045688834556517205
811,2005-2009 vs 2000-2004,bray,0.03911956422965046,0.03266670721477673,0.04648168356525248
