species,v2_n_detections,v2_n_grids,v2_n_blocks,v1_n_detections,v1_n_grids,v1_n_blocks,delta_n_detections,pct_change_detections
Anous minutus,NA,NA,NA,1,1,1,NA,NA
Egretta novaehollandiae,NA,NA,NA,1,1,1,NA,NA
Egretta picata,NA,NA,NA,3,3,1,NA,NA
Leucophaeus atricilla,NA,NA,NA,1,1,1,NA,NA
Leucophaeus pipixcan,NA,NA,NA,3,3,3,NA,NA
Phoebastria albatrus,NA,NA,NA,1,1,1,NA,NA
Phoebastria nigripes,NA,NA,NA,1,1,1,NA,NA
Stercorarius maccormicki,NA,NA,NA,1,1,1,NA,NA
Passer montanus,5963,1088,5,6145,1104,5,-182,-2.9617575264442637
Motacilla alba,5678,1057,5,5853,1077,5,-175,-2.9899196992995045
Hirundo rustica,4514,963,5,4682,986,5,-168,-3.588210166595472
Parus minor,4104,727,5,4220,738,5,-116,-2.748815165876777
Pica serica,3717,747,5,3845,760,5,-128,-3.328998699609883
Streptopelia orientalis,3593,836,5,3711,852,5,-118,-3.1797359202371327
Phoenicurus auroreus,3466,718,5,3599,733,5,-133,-3.6954709641567103
Spilopelia chinensis,3450,607,5,3582,615,5,-132,-3.6850921273031827
Falco tinnunculus,3402,919,5,3565,932,5,-163,-4.572230014025245
Pycnonotus sinensis,3395,536,5,3539,544,5,-144,-4.068946029951964
Egretta garzetta,3320,619,5,3484,628,5,-164,-4.70723306544202
Tachybaptus ruficollis,3251,687,5,3374,692,5,-123,-3.6455245998814463
Upupa epops,3250,813,5,3369,822,5,-119,-3.5322054021964973
Ardea cinerea,3118,783,5,3308,796,5,-190,-5.743651753325272
Alcedo atthis,2997,642,5,3133,654,5,-136,-4.340887328439195
Lanius schach,2974,491,5,3105,501,5,-131,-4.219001610305958
Anas platyrhynchos,2958,792,5,3090,810,5,-132,-4.271844660194175
Phasianus colchicus,2918,723,5,3017,732,5,-99,-3.281405369572423
Motacilla cinerea,2846,736,5,2974,754,5,-128,-4.303967720242098
Chloris sinica,2811,643,5,2898,652,5,-87,-3.002070393374741
Cecropis daurica,2793,642,5,2938,662,5,-145,-4.935330156569095
Ardeola bacchus,2739,539,5,2866,549,5,-127,-4.431263084438242
Anthus hodgsoni,2653,627,5,2760,634,5,-107,-3.8768115942028984
Ardea alba,2577,662,5,2751,672,5,-174,-6.324972737186478
Gallinula chloropus,2568,609,5,2685,615,5,-117,-4.35754189944134
Tadorna ferruginea,2555,720,5,2643,733,5,-88,-3.3295497540673478
Cuculus canorus,2488,755,5,2588,767,5,-100,-3.8639876352395675
Turdus mandarinus,2459,464,5,2549,469,5,-90,-3.5307963907414672
Phalacrocorax carbo,2411,677,5,2566,695,5,-155,-6.040530007794232
Acridotheres cristatellus,2409,414,5,2516,424,5,-107,-4.252782193958665
Corvus macrorhynchos,2403,638,5,2472,653,5,-69,-2.79126213592233
Anas zonorhyncha,2371,589,5,2527,603,5,-156,-6.173328056984567
Fulica atra,2357,676,5,2471,687,5,-114,-4.613516794819911
Milvus migrans,2356,654,5,2471,672,5,-115,-4.653986240388507
Phoenicurus fuliginosus,2356,472,5,2378,476,5,-22,-0.9251471825063078
Podiceps cristatus,2274,640,5,2415,652,5,-141,-5.838509316770186
Copsychus saularis,2266,364,5,2329,370,5,-63,-2.7050236152855303
Actitis hypoleucos,2261,681,5,2436,697,5,-175,-7.183908045977011
Zosterops simplex,2256,455,5,2368,461,5,-112,-4.72972972972973
Sinosuthora webbiana,2255,456,5,2328,461,5,-73,-3.1357388316151202
Lanius cristatus,2224,644,5,2382,666,5,-158,-6.633081444164568
Nycticorax nycticorax,2200,510,5,2321,517,5,-121,-5.213270142180095
Dicrurus macrocercus,2178,481,5,2322,493,5,-144,-6.2015503875969
Spodiopsar cineraceus,2151,568,5,2278,579,5,-127,-5.575065847234416
Cyanopica cyanus,2143,475,5,2232,492,5,-89,-3.9874551971326166
Phylloscopus inornatus,2110,543,5,2237,552,5,-127,-5.677246312025034
Phylloscopus proregulus,2092,570,5,2195,584,5,-103,-4.69248291571754
Emberiza pusilla,2051,564,5,2162,580,5,-111,-5.13413506012951
Corvus corone,2047,645,5,2090,659,5,-43,-2.0574162679425836
Chroicocephalus ridibundus,2034,582,5,2226,596,5,-192,-8.625336927223719
Dendrocopos major,2027,537,5,2077,545,5,-50,-2.407318247472316
Aegithalos concinnus,2023,378,5,2068,384,5,-45,-2.1760154738878144
Buteo japonicus,2013,641,5,2145,655,5,-132,-6.153846153846154
Tringa ochropus,1977,621,5,2099,633,5,-122,-5.8122915674130535
Bubulcus coromandus,1974,474,5,2106,485,5,-132,-6.267806267806268
Tarsiger cyanurus,1939,528,5,2033,538,5,-94,-4.623708804722086
Spizixos semitorques,1900,338,5,1911,340,5,-11,-0.5756148613291471
Columba livia,1896,542,5,1990,553,5,-94,-4.723618090452261
Accipiter nisus,1881,622,5,1969,637,5,-88,-4.4692737430167595
Anas carolinensis,1827,563,5,1965,570,5,-138,-7.022900763358779
Charadrius dubius,1811,581,5,1972,593,5,-161,-8.164300202839756
Himantopus himantopus,1807,561,5,1965,574,5,-158,-8.040712468193384
Prinia inornata,1798,370,5,1904,375,5,-106,-5.567226890756302
Emberiza spodocephala,1794,523,5,1896,538,5,-102,-5.379746835443038
Picus canus,1781,516,5,1817,519,5,-36,-1.9812878370941112
Phylloscopus fuscatus,1767,509,5,1901,517,5,-134,-7.048921620199895
Buteo hemilasius,1690,554,5,1736,572,5,-46,-2.6497695852534564
Spodiopsar sericeus,1673,358,5,1777,366,5,-104,-5.8525604952166574
Garrulus glandarius,1662,438,5,1690,443,5,-28,-1.6568047337278107
Sterna hirundo,1660,536,5,1858,560,5,-198,-10.656620021528525
Columba rupestris,1647,499,5,1661,500,5,-14,-0.8428657435279951
Pomatorhinus ruficollis,1628,329,5,1636,331,5,-8,-0.4889975550122249
Mergus merganser,1607,520,5,1677,527,5,-70,-4.174120453190221
Fringilla montifringilla,1599,517,5,1689,531,5,-90,-5.328596802841918
Passer cinnamomeus,1598,434,5,1627,442,5,-29,-1.782421634910879
Myophonus caeruleus,1596,373,5,1631,377,5,-35,-2.1459227467811157
Pyrrhocorax pyrrhocorax,1595,424,5,1597,424,5,-2,-0.12523481527864747
Saxicola stejnegeri,1582,464,5,1744,477,5,-162,-9.288990825688073
Horornis fortipes,1581,347,5,1637,353,5,-56,-3.420891875381796
Pardaliparus venustulus,1579,377,5,1629,383,5,-50,-3.0693677102516883
Streptopelia decaocto,1576,502,5,1614,511,5,-38,-2.354399008674102
Pycnonotus xanthorrhous,1565,323,5,1589,327,5,-24,-1.5103838892385149
Eophona migratoria,1558,376,5,1618,381,5,-60,-3.708281829419036
Emberiza elegans,1529,401,5,1615,411,5,-86,-5.325077399380805
Mareca strepera,1506,510,5,1627,523,5,-121,-7.4370006146281495
Pterorhinus sannio,1505,303,5,1515,305,5,-10,-0.6600660066006601
Lonchura striata,1503,321,5,1544,323,5,-41,-2.655440414507772
Tringa nebularia,1467,430,5,1659,441,5,-192,-11.573236889692586
Motacilla tschutschensis,1460,517,5,1594,528,5,-134,-8.406524466750314
Hypsipetes leucocephalus,1428,300,5,1474,305,5,-46,-3.1207598371777476
Urocissa erythroryncha,1411,398,5,1433,403,5,-22,-1.5352407536636428
Delichon dasypus,1397,391,5,1440,398,5,-43,-2.986111111111111
Carpodacus erythrinus,1394,444,5,1465,463,5,-71,-4.84641638225256
Tringa totanus,1392,443,5,1572,452,5,-180,-11.450381679389313
Motacilla citreola,1386,509,5,1448,523,5,-62,-4.281767955801105
Falco peregrinus,1359,457,5,1523,473,5,-164,-10.76822061720289
Aythya ferina,1354,449,5,1461,456,5,-107,-7.323750855578371
Vanellus cinereus,1354,431,5,1444,437,5,-90,-6.232686980609419
Vanellus vanellus,1352,463,5,1439,474,5,-87,-6.045865184155664
Tringa glareola,1345,467,5,1486,475,5,-141,-9.488559892328398
Falco subbuteo,1326,493,5,1433,505,5,-107,-7.46685275645499
Ixos mcclellandii,1326,296,5,1339,300,5,-13,-0.970873786407767
Gallinago gallinago,1324,438,5,1429,447,5,-105,-7.3477956613016095
Lonchura punctulata,1314,294,5,1385,297,5,-71,-5.126353790613718
Apus pacificus,1304,432,5,1438,455,5,-134,-9.318497913769123
Apus nipalensis,1299,327,5,1379,338,5,-80,-5.8013052936910805
Eudynamys scolopaceus,1294,374,5,1352,380,5,-58,-4.289940828402367
Chlidonias hybrida,1273,449,5,1419,460,5,-146,-10.288935870331219
Oriolus chinensis,1251,401,5,1362,410,5,-111,-8.14977973568282
Periparus ater,1247,357,5,1279,364,5,-32,-2.501954652071931
Amaurornis phoenicurus,1236,337,5,1319,343,5,-83,-6.292645943896892
Charadrius alexandrinus,1234,362,5,1452,375,5,-218,-15.013774104683195
Apus apus,1233,400,5,1252,404,5,-19,-1.5175718849840256
Falco amurensis,1232,424,5,1322,437,5,-90,-6.8078668683812404
Spatula clypeata,1212,440,5,1340,446,5,-128,-9.552238805970148
Aegithalos glaucogularis,1196,323,5,1221,329,5,-25,-2.0475020475020473
Abroscopus albogularis,1192,280,5,1216,281,5,-24,-1.9736842105263157
Cuculus micropterus,1191,418,5,1257,426,5,-66,-5.250596658711217
Turdus eunomus,1184,363,5,1271,377,5,-87,-6.845003933910307
Lanius tephronotus,1177,275,5,1189,278,5,-12,-1.0092514718250631
Emberiza cioides,1173,403,5,1230,410,5,-57,-4.634146341463414
Phoenicurus ochruros,1167,327,5,1179,333,5,-12,-1.0178117048346056
Circus cyaneus,1164,462,5,1267,478,5,-103,-8.12943962115233
Aythya fuligula,1155,413,5,1257,424,5,-102,-8.1145584725537
Accipiter trivirgatus,1152,312,5,1194,316,5,-42,-3.5175879396984926
Mareca penelope,1145,396,5,1273,404,5,-128,-10.054988216810683
Pernis ptilorhynchus,1145,404,5,1229,418,5,-84,-6.8348250610252235
Anthus richardi,1144,405,5,1290,413,5,-146,-11.317829457364342
Leiothrix lutea,1143,260,5,1155,262,5,-12,-1.0389610389610389
Ficedula albicilla,1138,409,5,1244,423,5,-106,-8.520900321543408
Anthus spinoletta,1134,434,5,1180,447,5,-46,-3.8983050847457625
Emberiza godlewskii,1134,304,5,1136,304,5,-2,-0.176056338028169
Alauda gulgula,1129,335,5,1223,341,5,-94,-7.686017988552739
Aythya nyroca,1128,396,5,1180,412,5,-52,-4.406779661016949
Gyps himalayensis,1126,274,5,1131,274,5,-5,-0.4420866489832007
Anas acuta,1112,412,5,1235,423,5,-123,-9.959514170040485
Ixobrychus sinensis,1112,343,5,1225,351,5,-113,-9.224489795918368
Parus monticolus,1107,216,5,1117,218,5,-10,-0.8952551477170994
Alauda arvensis,1104,401,5,1199,414,5,-95,-7.923269391159299
Dicrurus hottentottus,1102,305,5,1175,313,5,-73,-6.212765957446808
Acrocephalus orientalis,1098,381,5,1245,392,5,-147,-11.80722891566265
Enicurus leschenaulti,1089,274,5,1095,276,5,-6,-0.547945205479452
Bambusicola thoracicus,1067,231,5,1072,232,5,-5,-0.4664179104477612
Elanus caeruleus,1063,284,5,1149,290,5,-86,-7.484769364664926
Picumnus innominatus,1056,283,5,1067,285,5,-11,-1.0309278350515463
Recurvirostra avosetta,1054,350,5,1204,359,5,-150,-12.458471760797343
Eremophila alpestris,1053,329,5,1057,331,5,-4,-0.3784295175023652
Turdus naumanni,1053,361,5,1119,373,5,-66,-5.898123324396783
Monticola solitarius,1047,324,5,1212,343,5,-165,-13.613861386138614
Hemixos castanonotus,1044,214,5,1072,218,5,-28,-2.611940298507463
Anser anser,1040,368,5,1093,388,5,-53,-4.84903934126258
Dicrurus leucophaeus,1039,288,5,1115,300,5,-76,-6.816143497757848
Saxicola maurus,1036,384,5,1055,393,5,-19,-1.8009478672985781
Pycnonotus jocosus,1020,194,5,1052,197,5,-32,-3.041825095057034
Mareca falcata,1016,359,5,1137,373,5,-121,-10.642040457343887
Aix galericulata,1015,360,5,1065,368,5,-50,-4.694835680751174
Tringa erythropus,1009,330,5,1167,340,5,-158,-13.538988860325622
Stachyridopsis ruficeps,995,233,5,NA,NA,NA,NA,NA
Riparia riparia,989,427,5,1099,443,5,-110,-10.009099181073703
Phoenicurus frontalis,986,243,5,997,247,5,-11,-1.103309929789368
Tadorna tadorna,982,343,5,1124,356,5,-142,-12.633451957295375
Corvus corax,973,336,5,975,337,5,-2,-0.20512820512820512
Culicicapa ceylonensis,970,256,5,1006,266,5,-36,-3.5785288270377733
Yungipicus canicapillus,965,278,5,NA,NA,NA,NA,NA
Muscicapa sibirica,962,340,5,1070,352,5,-108,-10.093457943925234
Cinclus pallasii,951,263,5,963,265,5,-12,-1.2461059190031152
Platalea leucorodia,949,338,5,1100,348,5,-151,-13.727272727272727
Dendrocitta formosae,946,227,5,972,231,5,-26,-2.674897119341564
Chaimarrornis leucocephalus,940,237,5,NA,NA,NA,NA,NA
Butorides striata,938,316,5,1063,334,5,-125,-11.75917215428034
Trochalopteron elliotii,937,185,5,938,186,5,-1,-0.10660980810234541
Turdus hortulorum,931,283,5,1000,289,5,-69,-6.9
Troglodytes troglodytes,928,298,5,943,302,5,-15,-1.5906680805938493
Cisticola juncidis,919,274,5,1044,282,5,-125,-11.973180076628353
Gracupica nigricollis,919,200,5,983,205,5,-64,-6.510681586978637
Pycnonotus aurigaster,913,186,5,959,191,5,-46,-4.796663190823775
Phylloscopus humei,905,273,5,922,278,5,-17,-1.8438177874186552
Circus spilonotus,899,326,5,1034,339,5,-135,-13.056092843326885
Pericrocotus solaris,897,234,5,911,238,5,-14,-1.5367727771679474
Cuculus sparverioides,889,259,5,NA,NA,NA,NA,NA
Aquila chrysaetos,887,321,5,892,322,5,-5,-0.5605381165919282
Ptyonoprogne rupestris,881,299,5,884,301,5,-3,-0.3393665158371041
Anthus rubescens,873,300,5,966,314,5,-93,-9.627329192546584
Picoides canicapillus,871,345,4,880,346,4,-9,-1.0227272727272727
Lanius sphenocercus,869,324,5,979,339,5,-110,-11.235955056179776
Psilopogon virens,868,233,5,881,238,5,-13,-1.4755959137343928
Ceryle rudis,861,224,5,928,230,5,-67,-7.219827586206897
Halcyon smyrnensis,860,207,5,914,213,5,-54,-5.908096280087527
Regulus regulus,855,262,5,900,269,5,-45,-5
Sitta europaea,851,275,5,868,284,5,-17,-1.9585253456221199
Garrulax canorus,845,274,5,857,277,5,-12,-1.4002333722287048
Riparia diluta,841,306,5,882,317,5,-41,-4.648526077097506
Saxicola ferreus,831,242,5,854,250,5,-23,-2.693208430913349
Accipiter soloensis,830,257,5,894,267,5,-64,-7.158836689038031
Accipiter virgatus,830,292,5,878,301,5,-48,-5.466970387243736
Aethopyga christinae,829,202,5,851,204,5,-22,-2.5851938895417157
Eumyias thalassinus,829,216,5,875,230,5,-46,-5.257142857142857
Prinia flaviventris,827,181,5,877,184,5,-50,-5.701254275940707
Athene noctua,824,292,5,835,294,5,-11,-1.3173652694610778
Anthus roseatus,823,269,5,835,273,5,-12,-1.437125748502994
Phoenicurus hodgsoni,823,235,5,830,236,5,-7,-0.8433734939759037
Accipiter gentilis,822,324,5,878,338,5,-56,-6.378132118451025
Anser indicus,820,276,5,828,279,5,-8,-0.966183574879227
Emberiza tristrami,817,253,5,892,262,5,-75,-8.408071748878923
Netta rufina,816,308,5,826,314,5,-10,-1.2106537530266344
Corvus frugilegus,813,332,5,838,340,5,-25,-2.983293556085919
Orthotomus sutorius,813,157,5,851,160,5,-38,-4.465334900117509
Ciconia nigra,806,350,5,838,361,5,-32,-3.818615751789976
Phylloscopus borealis,803,308,5,919,319,5,-116,-12.622415669205658
Pericrocotus ethologus,802,203,5,809,205,5,-7,-0.865265760197775
Spatula querquedula,796,342,5,922,351,5,-126,-13.66594360086768
Ardea intermedia,793,338,4,880,351,4,-87,-9.886363636363637
Nucifraga caryocatactes,786,205,5,791,206,5,-5,-0.6321112515802781
Ardea purpurea,784,275,5,912,287,5,-128,-14.035087719298245
Cyanoderma ruficeps,784,256,4,788,257,4,-4,-0.5076142131979695
Streptopelia tranquebarica,783,294,5,876,302,5,-93,-10.616438356164384
Emberiza rustica,780,274,5,847,282,5,-67,-7.910271546635183
Limosa limosa,778,277,5,952,287,5,-174,-18.277310924369747
Spinus spinus,776,291,5,831,298,5,-55,-6.618531889290012
Chlidonias leucopterus,775,305,5,936,323,5,-161,-17.200854700854702
Ficedula zanthopygia,770,265,5,848,275,5,-78,-9.19811320754717
Glaucidium cuculoides,770,240,5,782,243,5,-12,-1.5345268542199488
Pterorhinus perspicillatus,769,228,4,792,234,4,-23,-2.904040404040404
Egretta intermedia,763,226,5,NA,NA,NA,NA,NA
Calidris temminckii,761,304,5,877,316,5,-116,-13.22690992018244
Phylloscopus claudiae,761,222,5,787,230,5,-26,-3.3036848792884372
Emberiza chrysophrys,758,254,5,833,260,5,-75,-9.003601440576231
Emberiza pallasi,758,275,5,870,285,5,-112,-12.873563218390805
Larus brunnicephalus,758,278,5,779,289,5,-21,-2.6957637997432604
Spilornis cheela,757,230,5,783,231,5,-26,-3.3205619412515963
Centropus sinensis,756,168,5,803,174,5,-47,-5.853051058530511
Bucephala clangula,755,285,5,829,304,5,-74,-8.926417370325694
Tringa stagnatilis,752,265,5,926,274,5,-174,-18.79049676025918
Charadrius placidus,751,302,5,798,313,5,-47,-5.889724310776942
Glaucidium brodiei,751,225,5,762,228,5,-11,-1.4435695538057742
Megaceryle lugubris,751,220,5,764,222,5,-13,-1.7015706806282722
Larus ichthyaetus,749,275,5,795,289,5,-46,-5.786163522012578
Sturnus vulgaris,747,311,5,793,319,5,-46,-5.800756620428752
Anser cygnoides,746,245,5,829,256,5,-83,-10.012062726176115
Pseudopodoces humilis,743,180,5,744,180,5,-1,-0.13440860215053763
Zosterops erythropleurus,731,252,5,797,268,5,-66,-8.281053952321205
Hierococcyx sparverioides,725,302,5,749,308,5,-24,-3.2042723631508676
Phylloscopus trochiloides,724,218,5,732,219,5,-8,-1.092896174863388
Larus argentatus,721,220,5,892,237,5,-171,-19.170403587443946
Gypaetus barbatus,720,216,5,721,217,5,-1,-0.13869625520110956
Turdus rubrocanus,719,165,5,722,167,5,-3,-0.4155124653739612
Enicurus schistaceus,718,178,5,723,179,5,-5,-0.6915629322268326
Linaria flavirostris,717,206,5,717,206,5,0,0
Caprimulgus jotaka,716,274,5,786,290,5,-70,-8.9058524173028
Eurystomus orientalis,713,215,5,797,227,5,-84,-10.53952321204517
Pericrocotus cantonensis,713,241,5,745,246,5,-32,-4.295302013422819
Podiceps nigricollis,712,270,5,810,280,5,-98,-12.098765432098766
Cuculus poliocephalus,710,252,5,757,261,5,-47,-6.208718626155878
Pandion haliaetus,707,278,5,858,291,5,-151,-17.5990675990676
Prunella strophiata,705,153,5,708,155,5,-3,-0.423728813559322
Poecile montanus,703,237,5,722,242,5,-19,-2.6315789473684212
Passer domesticus,701,301,5,712,309,5,-11,-1.5449438202247192
Muscicapa latirostris,699,237,5,NA,NA,NA,NA,NA
Garrulax perspicillatus,697,156,5,NA,NA,NA,NA,NA
Butastur indicus,692,257,5,760,270,5,-68,-8.947368421052632
Anser fabalis,687,277,5,769,293,5,-82,-10.663198959687906
Halcyon pileata,682,267,5,789,277,5,-107,-13.561470215462611
Enicurus scouleri,678,180,5,685,181,5,-7,-1.0218978102189782
Pericrocotus speciosus,678,171,5,695,173,5,-17,-2.446043165467626
Cygnus cygnus,676,251,5,713,263,5,-37,-5.189340813464236
Acrocephalus bistrigiceps,672,259,5,778,274,5,-106,-13.624678663239074
Alcippe hueti,672,141,5,677,141,5,-5,-0.7385524372230429
Phoenicurus erythrogastrus,670,234,5,674,235,5,-4,-0.5934718100890207
Alcippe davidi,669,199,5,670,200,5,-1,-0.14925373134328357
Dicaeum ignipectus,668,187,5,679,188,5,-11,-1.6200294550810015
Emberiza fucata,668,266,5,768,275,5,-100,-13.020833333333334
Jynx torquilla,668,279,5,773,294,5,-105,-13.583441138421733
Larus vegae,668,300,4,751,316,4,-83,-11.051930758988016
Luscinia svecica,667,268,5,728,275,5,-61,-8.37912087912088
Dendronanthus indicus,664,240,5,715,249,5,-51,-7.1328671328671325
Muscicapa dauurica,661,304,5,720,314,5,-59,-8.194444444444445
Prunella fulvescens,652,207,5,653,207,5,-1,-0.15313935681470137
Remiz consobrinus,651,214,5,759,226,5,-108,-14.229249011857707
Phylloscopus pulcher,648,144,5,656,147,5,-8,-1.2195121951219512
Turdus ruficollis,646,282,5,671,293,5,-25,-3.7257824143070044
Coloeus dauuricus,644,207,5,NA,NA,NA,NA,NA
Phylloscopus armandii,643,178,5,652,179,5,-9,-1.3803680981595092
Phylloscopus coronatus,643,232,5,722,239,5,-79,-10.941828254847646
Calidris alpina,638,190,5,833,199,5,-195,-23.4093637454982
Cygnus columbianus,638,225,5,711,233,5,-73,-10.267229254571026
Numenius arquata,637,215,5,848,225,5,-211,-24.882075471698112
Otus sunia,635,239,5,695,246,5,-60,-8.633093525179856
Mergellus albellus,633,231,5,703,245,5,-70,-9.95732574679943
Pluvialis fulva,633,230,5,799,244,5,-166,-20.775969962453065
Oenanthe isabellina,632,230,5,636,232,5,-4,-0.6289308176100629
Pyrgilauda ruficollis,629,157,5,629,157,5,0,0
Corvus pectoralis,628,202,5,648,209,5,-20,-3.0864197530864197
Circus melanoleucos,623,266,5,696,274,5,-73,-10.488505747126437
Pnoepyga pusilla,622,182,5,631,185,5,-9,-1.4263074484944533
Botaurus stellaris,620,246,5,704,258,5,-84,-11.931818181818182
Galerida cristata,620,263,5,624,264,5,-4,-0.6410256410256411
Grus grus,613,239,5,661,249,5,-48,-7.2617246596066565
Zoothera aurea,610,214,5,678,219,5,-68,-10.029498525073747
Phoenicurus leucocephalus,607,256,4,610,257,4,-3,-0.4918032786885246
Pica bottanensis,605,177,5,606,177,5,-1,-0.16501650165016502
Accipiter gularis,603,232,5,689,241,5,-86,-12.481857764876633
