grid_cell,period,metric,value_mean,value_l95,value_u95,block_label
56,P1,corrected_richness,91.06123876331303,86.92801319576051,94.88944389225152,P1
57,P1,corrected_richness,93.23334444372753,89.80899738141166,96.74778734935465,P1
128,P1,corrected_richness,91.34314874245703,87.59088203892112,94.58284794857508,P1
198,P1,corrected_richness,86.10471791503693,83.37070924254151,89.42830656919708,P1
199,P1,corrected_richness,94.93658996230074,91.62070844488471,98.64420889668101,P1
203,P1,corrected_richness,91.18637054488667,88.37325376188215,94.4997007515799,P1
270,P1,corrected_richness,86.0864380877043,83.52295041695515,89.03463880599679,P1
271,P1,corrected_richness,86.82138767565353,84.26678784772689,89.9347667797518,P1
272,P1,corrected_richness,87.64377577117996,84.98801149342734,90.60849343098435,P1
274,P1,corrected_richness,98.14439459025206,94.97451519033395,101.53331489182298,P1
276,P1,corrected_richness,102.84155466145293,99.20820968683142,105.98420711398522,P1
341,P1,corrected_richness,82.56459248249114,78.96170931545198,86.67303184145494,P1
342,P1,corrected_richness,83.0777964109827,78.79919981360823,86.73272235097768,P1
343,P1,corrected_richness,91.52682679935505,87.09421444501315,95.3321688338197,P1
344,P1,corrected_richness,87.69550182764374,84.2861767197482,90.77626447959524,P1
345,P1,corrected_richness,80.02401200292128,77.46857676453537,83.09079017862328,P1
347,P1,corrected_richness,84.82194626554157,82.83108891954691,87.24599721337893,P1
412,P1,corrected_richness,87.63989638332924,85.18076698567376,90.25195773413749,P1
413,P1,corrected_richness,92.29046676015142,89.52993945808805,94.93624338478672,P1
414,P1,corrected_richness,94.14042578673518,91.57983015089144,96.52269969475329,P1
415,P1,corrected_richness,90.04353538802243,87.23953421249816,93.46158455635023,P1
416,P1,corrected_richness,90.02505904224294,87.16670592595592,93.57735069025574,P1
417,P1,corrected_richness,92.0339213121023,88.37574579993783,95.66291856158199,P1
418,P1,corrected_richness,93.88071168586039,90.50344518724451,97.15543287999115,P1
483,P1,corrected_richness,72.45753867342219,69.14691640242162,75.54995583618627,P1
484,P1,corrected_richness,74.55988754863408,71.13422367914127,78.03091143227228,P1
485,P1,corrected_richness,77.19522337123293,73.82926816463291,80.4895089925096,P1
486,P1,corrected_richness,79.32686586320824,75.9929592903437,82.64389956065297,P1
487,P1,corrected_richness,82.82996871491747,79.67923872786479,86.08108970160437,P1
554,P1,corrected_richness,68.9786235230227,65.63818737868247,71.77574301613184,P1
555,P1,corrected_richness,69.12009861414887,65.76412558428314,72.06353168552945,P1
556,P1,corrected_richness,67.83256391602076,64.68573752953132,70.54719395233823,P1
557,P1,corrected_richness,68.51398886165545,65.36219396278202,71.43464335861361,P1
558,P1,corrected_richness,70.75095597514833,67.63460491442687,73.81675957753976,P1
559,P1,corrected_richness,74.19112119688869,70.88190564690096,77.41877343005287,P1
560,P1,corrected_richness,76.37634184599183,73.61172026954786,79.25017417943356,P1
561,P1,corrected_richness,85.8360509668735,83.33676881481313,88.32543783290267,P1
563,P1,corrected_richness,93.71116439452248,91.59909793720414,95.79196868368746,P1
564,P1,corrected_richness,92.83698661919895,90.94681847099412,94.7535106312683,P1
592,P1,corrected_richness,55.96976806552894,53.45042541656312,58.79261518607252,P1
