species,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,migration_score
Passer montanus,0.8,5,Woodland,2,1,Omnivore,Granivore,Terrestrial,1
Motacilla alba,0.8,8,Human Modified,3,3,Carnivore,Invertivore,Terrestrial,3
Hirundo rustica,0.8,8,Human Modified,3,3,Carnivore,Invertivore,Aerial,3
Parus minor,0.8,5,NA,NA,NA,NA,NA,NA,2
Pica serica,0.8,5,NA,NA,NA,NA,NA,NA,2
Streptopelia orientalis,0.2,8,Woodland,3,3,Herbivore,Omnivore,Terrestrial,3
Phoenicurus auroreus,0.8,5,Forest,2,3,Omnivore,Invertivore,Insessorial,3
Spilopelia chinensis,0.8,8,Woodland,3,1,Herbivore,Granivore,Terrestrial,1
Falco tinnunculus,0.8,8,Shrubland,3,3,Carnivore,Vertivore,Aerial,3
Pycnonotus sinensis,0.8,5,Human Modified,2,3,Herbivore,Frugivore,Insessorial,3
Egretta garzetta,0.8,8,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,2
Tachybaptus ruficollis,0.8,8,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,1
Upupa epops,0.8,8,Grassland,3,3,Carnivore,Invertivore,Terrestrial,3
Ardea cinerea,0.8,8,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,1
Alcedo atthis,0.8,5,Riverine,2,1,Carnivore,Aquatic predator,Insessorial,1
Lanius schach,0.8,5,Shrubland,2,2,Carnivore,Invertivore,Insessorial,2
Anas platyrhynchos,0.8,8,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,2
Phasianus colchicus,0.2,5,Human Modified,2,1,Herbivore,Omnivore,Terrestrial,1
Motacilla cinerea,0.8,8,Riverine,3,2,Carnivore,Invertivore,Terrestrial,2
Chloris sinica,0.8,5,Shrubland,2,1,Herbivore,Granivore,Generalist,1
Cecropis daurica,0.8,8,Grassland,3,3,Carnivore,Invertivore,Aerial,3
Ardeola bacchus,0.8,8,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,2
Anthus hodgsoni,0.8,8,Grassland,3,3,Carnivore,Invertivore,Terrestrial,3
Ardea alba,0.8,8,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,2
Gallinula chloropus,0.2,8,Wetland,3,1,Omnivore,Omnivore,Terrestrial,1
Tadorna ferruginea,0.2,8,Wetland,3,2,Omnivore,Omnivore,Terrestrial,2
Cuculus canorus,0.8,5,Forest,2,3,Carnivore,Invertivore,Insessorial,3
Turdus mandarinus,0.2,5,Forest,2,1,Omnivore,Omnivore,Generalist,1
Phalacrocorax carbo,0.8,8,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,2
Acridotheres cristatellus,0.2,8,Grassland,3,2,Omnivore,Omnivore,Generalist,2
Corvus macrorhynchos,0.2,5,Woodland,2,1,Omnivore,Omnivore,Generalist,1
Anas zonorhyncha,0.8,8,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,2
Fulica atra,0.8,8,Wetland,3,1,Herbivore,Herbivore aquatic,Generalist,1
Milvus migrans,0.2,8,Woodland,3,3,Omnivore,Omnivore,Aerial,3
Phoenicurus fuliginosus,0.8,8,Riverine,3,1,Carnivore,Aquatic predator,Insessorial,1
Podiceps cristatus,0.8,8,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,1
Copsychus saularis,0.8,2,Woodland,1,1,Carnivore,Invertivore,Terrestrial,1
Actitis hypoleucos,0.8,8,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,3
Zosterops simplex,0.2,5,Forest,2,1,Omnivore,Omnivore,Insessorial,1
Sinosuthora webbiana,0.2,5,Shrubland,2,1,Herbivore,Omnivore,Insessorial,1
Lanius cristatus,0.8,8,Shrubland,3,3,Carnivore,Invertivore,Insessorial,3
Nycticorax nycticorax,0.8,8,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,3
Dicrurus macrocercus,0.8,5,Shrubland,2,1,Carnivore,Invertivore,Insessorial,1
Spodiopsar cineraceus,0.8,8,Grassland,3,1,Carnivore,Invertivore,Terrestrial,1
